profile,sigma,R_over_a,T_over_a,Veff,Veff_jackknife_error,plateau_fit_T3_5,plateau_fit_error,Veff_minus_own_plateau,paired_residual_jackknife_error,z2,plateau_p_value,plateau_energy_shift_from_constant,paired_shift_z_from_constant,in_plateau_fit
sigma=0.0500,0.0500,2,3,0.694400094741,0.00694372895784,0.694268894869,0.00477290942104,0.000131199871891,0.00504328340453,2.52304469467,0.985178114546,-0.00262559475343,-1.04798923536,yes
sigma=0.0500,0.0500,2,4,0.694603743662,0.0099512914882,0.694268894869,0.00477290942104,0.00033484879242,0.00873198362009,2.52304469467,0.985178114546,-0.00262559475343,-1.04798923536,yes
sigma=0.0500,0.0500,2,5,0.691520084082,0.0166313294873,0.694268894869,0.00477290942104,-0.00274881078726,0.015931743664,2.52304469467,0.985178114546,-0.00262559475343,-1.04798923536,yes
sigma=0.0500,0.0500,3,2,0.850383663367,0.00686031119923,0.832257266348,0.00771362758664,0.0181263970186,0.0107671431565,1.68349178192,0.41777169964,-0.00196621956757,-0.745710698467,no
sigma=0.0500,0.0500,3,3,0.825416236171,0.0101711549732,0.832257266348,0.00771362758664,-0.00684103017765,0.00662965632168,1.68349178192,0.41777169964,-0.00196621956757,-0.745710698467,yes
sigma=0.0500,0.0500,3,4,0.850362716346,0.0158372925345,0.832257266348,0.00771362758664,0.018105449998,0.0138318395118,1.68349178192,0.41777169964,-0.00196621956757,-0.745710698467,yes
sigma=0.0500,0.0500,3,5,0.814250172684,0.0392609679956,0.832257266348,0.00771362758664,-0.0180070936642,0.0384957602524,1.68349178192,0.41777169964,-0.00196621956757,-0.745710698467,yes
sigma=0.0500,0.0500,4,2,0.954080340247,0.00923717415247,0.922736119421,0.0117998176036,0.0313442208262,0.0152520432123,2.05508340029,0.658339812943,-0.00159631211798,-0.459041798411,no
sigma=0.0500,0.0500,4,3,0.920048317818,0.0144681846806,0.922736119421,0.0117998176036,-0.00268780160248,0.00837213667307,2.05508340029,0.658339812943,-0.00159631211798,-0.459041798411,yes
sigma=0.0500,0.0500,4,4,0.940574924379,0.0308465775295,0.922736119421,0.0117998176036,0.0178388049584,0.0285004499931,2.05508340029,0.658339812943,-0.00159631211798,-0.459041798411,yes
sigma=0.0500,0.0500,4,5,0.869143746478,0.064931309039,0.922736119421,0.0117998176036,-0.0535923729429,0.0638501307598,2.05508340029,0.658339812943,-0.00159631211798,-0.459041798411,yes
sigma=0.0500,0.0500,5,2,1.04362850231,0.0117222300159,1.03138722835,0.0204222848102,0.012241273962,0.024577562235,0.498067051768,0.930456527001,0.0048017974149,1.08090577265,no
sigma=0.0500,0.0500,5,3,1.02892175384,0.0226060503578,1.03138722835,0.0204222848102,-0.00246547450597,0.00969349245167,0.498067051768,0.930456527001,0.0048017974149,1.08090577265,yes
sigma=0.0500,0.0500,5,4,1.04508062955,0.0518802148638,1.03138722835,0.0204222848102,0.0136934012048,0.0476915818299,0.498067051768,0.930456527001,0.0048017974149,1.08090577265,yes
sigma=0.0500,0.0500,5,5,0.993541206355,0.138800608807,1.03138722835,0.0204222848102,-0.0378460219909,0.137289982476,0.498067051768,0.930456527001,0.0048017974149,1.08090577265,yes
sigma=0.0500,0.0500,6,2,1.12848536733,0.0150788248816,1.12068882731,0.0268088392402,0.00779654001812,0.0316982372479,0.245961311891,0.723667975204,0.00441802314588,0.576355050582,no
sigma=0.0500,0.0500,6,3,1.11907915468,0.0294749632873,1.12068882731,0.0268088392402,-0.00160967263539,0.0122498816068,0.245961311891,0.723667975204,0.00441802314588,0.576355050582,yes
sigma=0.0500,0.0500,6,4,1.15645213512,0.0932052477161,1.12068882731,0.0268088392402,0.035763307808,0.0892664793773,0.245961311891,0.723667975204,0.00441802314588,0.576355050582,yes
sigma=0.0500,0.0500,6,5,0.961774237866,0.206963797306,1.12068882731,0.0268088392402,-0.158914589445,0.205220124583,0.245961311891,0.723667975204,0.00441802314588,0.576355050582,yes
sigma=0.0894,0.0894,1,2,0.487483741515,0.00195384630446,0.48082839828,0.00151854788477,0.00665534323521,0.00274255854822,2.42669139718,0.808739005255,-0.000723313578571,-1.0899524199,no
sigma=0.0894,0.0894,1,3,0.479544032595,0.00254361122756,0.48082839828,0.00151854788477,-0.0012843656847,0.00204058089735,2.42669139718,0.808739005255,-0.000723313578571,-1.0899524199,yes
sigma=0.0894,0.0894,1,4,0.482720459677,0.00340336034043,0.48082839828,0.00151854788477,0.00189206139678,0.0030457961075,2.42669139718,0.808739005255,-0.000723313578571,-1.0899524199,yes
sigma=0.0894,0.0894,1,5,0.480984204457,0.00373188402087,0.48082839828,0.00151854788477,0.000155806177269,0.00340895448296,2.42669139718,0.808739005255,-0.000723313578571,-1.0899524199,yes
sigma=0.0894,0.0894,2,2,0.712280270902,0.00327556999817,0.696103376551,0.00411167839117,0.0161768943507,0.00548019231868,2.95188442486,0.995224732679,-0.000791113071724,-0.949331651843,no
sigma=0.0894,0.0894,2,3,0.696093467333,0.00534579487719,0.696103376551,0.00411167839117,-9.90921797783e-06,0.00341637581022,2.95188442486,0.995224732679,-0.000791113071724,-0.949331651843,yes
sigma=0.0894,0.0894,2,4,0.6958522331,0.00866892230944,0.696103376551,0.00411167839117,-0.000251143450705,0.00763179630327,2.95188442486,0.995224732679,-0.000791113071724,-0.949331651843,yes
sigma=0.0894,0.0894,2,5,0.697649828821,0.0164124376981,0.696103376551,0.00411167839117,0.00154645226959,0.0158890595065,2.95188442486,0.995224732679,-0.000791113071724,-0.949331651843,yes
sigma=0.0894,0.0894,3,2,0.849576543179,0.00520698740736,0.833432883948,0.00735850416831,0.0161436592312,0.00976510396084,1.65319891073,0.383431977478,-0.000790601968268,-0.915398271238,no
sigma=0.0894,0.0894,3,3,0.826680216787,0.00925627501914,0.833432883948,0.00735850416831,-0.00675266716082,0.00561525098592,1.65319891073,0.383431977478,-0.000790601968268,-0.915398271238,yes
sigma=0.0894,0.0894,3,4,0.85212941877,0.0154485350001,0.833432883948,0.00735850416831,0.0186965348228,0.013583432926,1.65319891073,0.383431977478,-0.000790601968268,-0.915398271238,yes
sigma=0.0894,0.0894,3,5,0.827141591103,0.0393892570742,0.833432883948,0.00735850416831,-0.00629129284495,0.0386958135884,1.65319891073,0.383431977478,-0.000790601968268,-0.915398271238,yes
sigma=0.0894,0.0894,4,2,0.953798314035,0.00791744297529,0.923855980016,0.0113633771336,0.0299423340196,0.0139916483032,2.14001476958,0.763208318505,-0.000476451523012,-0.430733074495,no
sigma=0.0894,0.0894,4,3,0.920397573474,0.0134263361258,0.923855980016,0.0113633771336,-0.00345840654139,0.00715123498994,2.14001476958,0.763208318505,-0.000476451523012,-0.430733074495,yes
sigma=0.0894,0.0894,4,4,0.942450817738,0.0297454433866,0.923855980016,0.0113633771336,0.0185948377219,0.0274893627133,2.14001476958,0.763208318505,-0.000476451523012,-0.430733074495,yes
sigma=0.0894,0.0894,4,5,0.890391684092,0.0683129996538,0.923855980016,0.0113633771336,-0.0334642959235,0.0673612617297,2.14001476958,0.763208318505,-0.000476451523012,-0.430733074495,yes
sigma=0.0894,0.0894,5,2,1.04266038375,0.0106297871314,1.02797275326,0.0204679957373,0.0146876304935,0.0240924590908,0.609636004286,0.962154535372,0.00138732232497,0.9753122258,no
sigma=0.0894,0.0894,5,3,1.02549833876,0.0223726800588,1.02797275326,0.0204679957373,-0.00247441449949,0.00903315911022,0.609636004286,0.962154535372,0.00138732232497,0.9753122258,yes
sigma=0.0894,0.0894,5,4,1.04125765217,0.0521443463419,1.02797275326,0.0204679957373,0.0132848989106,0.0479592953026,0.609636004286,0.962154535372,0.00138732232497,0.9753122258,yes
sigma=0.0894,0.0894,5,5,1.02112883086,0.138783666007,1.02797275326,0.0204679957373,-0.00684392239956,0.137266044967,0.609636004286,0.962154535372,0.00138732232497,0.9753122258,yes
sigma=0.0894,0.0894,6,2,1.12987081787,0.0143944314219,1.11762196727,0.0273251407968,0.0122488505965,0.0322878082759,0.379364572903,0.698327826068,0.00135116310637,0.55829728084,no
sigma=0.0894,0.0894,6,3,1.11255575568,0.0297581666855,1.11762196727,0.0273251407968,-0.0050662115892,0.0117849550239,0.379364572903,0.698327826068,0.00135116310637,0.55829728084,yes
sigma=0.0894,0.0894,6,4,1.17596613252,0.0938796181965,1.11762196727,0.0273251407968,0.0583441652501,0.0898149174311,0.379364572903,0.698327826068,0.00135116310637,0.55829728084,yes
sigma=0.0894,0.0894,6,5,0.973527396128,0.209628185583,1.11762196727,0.0273251407968,-0.144094571145,0.20783963258,0.379364572903,0.698327826068,0.00135116310637,0.55829728084,yes
sigma=0.1289,0.1289,1,2,0.487381532857,0.00149377907602,0.481194867784,0.00135482825562,0.00618666507327,0.00226506179765,2.73134493711,0.6986949316,-0.000356844074699,-1.088188065,no
sigma=0.1289,0.1289,1,3,0.479780017943,0.00215609063195,0.481194867784,0.00135482825562,-0.00141484984081,0.00167724989521,2.73134493711,0.6986949316,-0.000356844074699,-1.088188065,yes
sigma=0.1289,0.1289,1,4,0.48319079912,0.00297594765757,0.481194867784,0.00135482825562,0.00199593133551,0.00264966127239,2.73134493711,0.6986949316,-0.000356844074699,-1.088188065,yes
sigma=0.1289,0.1289,1,5,0.481986255888,0.00354431922715,0.481194867784,0.00135482825562,0.000791388104362,0.00327515483325,2.73134493711,0.6986949316,-0.000356844074699,-1.088188065,yes
sigma=0.1289,0.1289,2,2,0.712183787516,0.00298040895354,0.696513108762,0.00403225697956,0.015670678754,0.00527597819569,2.97019399489,0.986525858472,-0.000381380860679,-0.944631806758,no
sigma=0.1289,0.1289,2,3,0.696471749063,0.00519058791224,0.696513108762,0.00403225697956,-4.13596990877e-05,0.00326850218379,2.97019399489,0.986525858472,-0.000381380860679,-0.944631806758,yes
sigma=0.1289,0.1289,2,4,0.696126677729,0.00858549519939,0.696513108762,0.00403225697956,-0.00038643103341,0.0075796854466,2.97019399489,0.986525858472,-0.000381380860679,-0.944631806758,yes
sigma=0.1289,0.1289,2,5,0.699139212526,0.0164884315426,0.696513108762,0.00403225697956,0.00262610376436,0.015987785287,2.97019399489,0.986525858472,-0.000381380860679,-0.944631806758,yes
sigma=0.1289,0.1289,3,2,0.849479717741,0.00499875769253,0.833814351997,0.00733572761893,0.015665365744,0.00969542146276,1.61574881547,0.379481524688,-0.000409133918427,-0.975086298389,no
sigma=0.1289,0.1289,3,3,0.826981377195,0.00919208137769,0.833814351997,0.00733572761893,-0.00683297480232,0.00553908479398,1.61574881547,0.379481524688,-0.000409133918427,-0.975086298389,yes
sigma=0.1289,0.1289,3,4,0.852638018407,0.0155395543599,0.833814351997,0.00733572761893,0.01882366641,0.0136990820863,1.61574881547,0.379481524688,-0.000409133918427,-0.975086298389,yes
sigma=0.1289,0.1289,3,5,0.830116660539,0.0395447130937,0.833814351997,0.00733572761893,-0.0036976914586,0.038858350891,1.61574881547,0.379481524688,-0.000409133918427,-0.975086298389,yes
sigma=0.1289,0.1289,4,2,0.953849795102,0.0077244981328,0.924103262184,0.0113305000766,0.0297465329183,0.0138091648002,2.15411528131,0.772589115603,-0.000229169355265,-0.42888440888,no
sigma=0.1289,0.1289,4,3,0.920479831048,0.0132883253435,0.924103262184,0.0113305000766,-0.00362343113525,0.00694257577902,2.15411528131,0.772589115603,-0.000229169355265,-0.42888440888,yes
sigma=0.1289,0.1289,4,4,0.942927366827,0.0296181282247,0.924103262184,0.0113305000766,0.0188241046436,0.0273651838574,2.15411528131,0.772589115603,-0.000229169355265,-0.42888440888,yes
sigma=0.1289,0.1289,4,5,0.895165316841,0.0693741068171,0.924103262184,0.0113305000766,-0.0289379453424,0.0684425778641,2.15411528131,0.772589115603,-0.000229169355265,-0.42888440888,yes
sigma=0.1289,0.1289,5,2,1.04258762194,0.0104655290125,1.0272373921,0.0205539297594,0.0153502298361,0.0240946647086,0.637080035009,0.962880568238,0.000651961168449,0.94672152615,no
sigma=0.1289,0.1289,5,3,1.02478463681,0.0224082306126,1.0272373921,0.0205539297594,-0.00245275529251,0.00892551234585,0.637080035009,0.962880568238,0.000651961168449,0.94672152615,yes
sigma=0.1289,0.1289,5,4,1.04037556475,0.0523793607641,1.0272373921,0.0205539297594,0.0131381726484,0.0481781424041,0.637080035009,0.962880568238,0.000651961168449,0.94672152615,yes
sigma=0.1289,0.1289,5,5,1.02806776819,0.139156813603,1.0272373921,0.0205539297594,0.000830376086223,0.137630500775,0.637080035009,0.962880568238,0.000651961168449,0.94672152615,yes
sigma=0.1289,0.1289,6,2,1.13035854249,0.0143131679718,1.11691559243,0.0276187207902,0.013442950065,0.0325982967294,0.412381977398,0.682749253032,0.000644788262135,0.552821135571,no
sigma=0.1289,0.1289,6,3,1.11103170327,0.0300190813826,1.11691559243,0.0276187207902,-0.00588388915941,0.0117622918246,0.412381977398,0.682749253032,0.000644788262135,0.552821135571,yes
sigma=0.1289,0.1289,6,4,1.18101269306,0.0944507676259,1.11691559243,0.0276187207902,0.0640971006366,0.0903224986758,0.412381977398,0.682749253032,0.000644788262135,0.552821135571,yes
sigma=0.1289,0.1289,6,5,0.975242409475,0.210823202989,1.11691559243,0.0276187207902,-0.141673182953,0.209006289811,0.412381977398,0.682749253032,0.000644788262135,0.552821135571,yes
sigma=0.1683,0.1683,1,2,0.487351785275,0.00138216766234,0.481335900566,0.00130896923012,0.00601588470877,0.00215014836071,2.79789284252,0.652359137983,-0.00021581129272,-1.11279586602,no
sigma=0.1683,0.1683,1,3,0.479868540099,0.00205852756804,0.481335900566,0.00130896923012,-0.00146736046716,0.00158875275074,2.79789284252,0.652359137983,-0.00021581129272,-1.11279586602,yes
sigma=0.1683,0.1683,1,4,0.483373347654,0.00286396066366,0.481335900566,0.00130896923012,0.0020374470881,0.00254732609565,2.79789284252,0.652359137983,-0.00021581129272,-1.11279586602,yes
sigma=0.1683,0.1683,1,5,0.482364811039,0.00351438521684,0.481335900566,0.00130896923012,0.00102891047333,0.00326151851243,2.79789284252,0.652359137983,-0.00021581129272,-1.11279586602,yes
sigma=0.1683,0.1683,2,2,0.712158151081,0.00290784320796,0.6966703441,0.00401320551717,0.0154878069809,0.00523760561078,2.95703955811,0.982070582862,-0.000224145522957,-0.945037518997,no
sigma=0.1683,0.1683,2,3,0.696614750303,0.00516042833439,0.6966703441,0.00401320551717,-5.55937966559e-05,0.00324410266041,2.95703955811,0.982070582862,-0.000224145522957,-0.945037518997,yes
sigma=0.1683,0.1683,2,4,0.696229784628,0.00857855455515,0.6966703441,0.00401320551717,-0.000440559471784,0.00758193772941,2.95703955811,0.982070582862,-0.000224145522957,-0.945037518997,yes
sigma=0.1683,0.1683,2,5,0.699713472495,0.0165308984433,0.6966703441,0.00401320551717,0.00304312839555,0.0160363582156,2.95703955811,0.982070582862,-0.000224145522957,-0.945037518997,yes
sigma=0.1683,0.1683,3,2,0.849453293849,0.00494499350375,0.83397666614,0.00733424076788,0.0154766277091,0.00968979189805,1.59720950377,0.378706322051,-0.000246819776299,-0.999295823619,no
sigma=0.1683,0.1683,3,3,0.827097684098,0.00918455750453,0.83397666614,0.00733424076788,-0.00687898204126,0.00552856300613,1.59720950377,0.378706322051,-0.000246819776299,-0.999295823619,yes
sigma=0.1683,0.1683,3,4,0.852841861359,0.015593390094,0.83397666614,0.00733424076788,0.0188651952196,0.0137609130142,1.59720950377,0.378706322051,-0.000246819776299,-0.999295823619,yes
sigma=0.1683,0.1683,3,5,0.831248695818,0.0396171947221,0.83397666614,0.00733424076788,-0.0027279703219,0.0389323904995,1.59720950377,0.378706322051,-0.000246819776299,-0.999295823619,yes
sigma=0.1683,0.1683,4,2,0.953882841684,0.00766581769881,0.924197814343,0.0113255114825,0.0296850273408,0.0137526834099,2.15848983476,0.774810841285,-0.000134617195851,-0.42878485416,no
sigma=0.1683,0.1683,4,3,0.920511886925,0.0132473775828,0.924197814343,0.0113255114825,-0.00368592741827,0.00687210320643,2.15848983476,0.774810841285,-0.000134617195851,-0.42878485416,yes
sigma=0.1683,0.1683,4,4,0.94311229518,0.0295843261727,0.924197814343,0.0113255114825,0.0189144808369,0.0273306630866,2.15848983476,0.774810841285,-0.000134617195851,-0.42878485416,yes
sigma=0.1683,0.1683,4,5,0.896971077499,0.0698067323307,0.924197814343,0.0113255114825,-0.0272267368436,0.0688818747447,2.15848983476,0.774810841285,-0.000134617195851,-0.42878485416,yes
sigma=0.1683,0.1683,5,2,1.04257733076,0.0104139899468,1.02696428444,0.020594629287,0.0156130463221,0.0241086371238,0.647612150032,0.962397075446,0.000378853510698,0.935469745501,no
sigma=0.1683,0.1683,5,3,1.02452144901,0.0224314073328,1.02696428444,0.020594629287,-0.00244283543349,0.00888984136311,0.647612150032,0.962397075446,0.000378853510698,0.935469745501,yes
sigma=0.1683,0.1683,5,4,1.04003669594,0.0524867981647,1.02696428444,0.020594629287,0.0130724114945,0.0482775851313,0.647612150032,0.962397075446,0.000378853510698,0.935469745501,yes
sigma=0.1683,0.1683,5,5,1.03077530855,0.139340023574,1.02696428444,0.020594629287,0.00381102410789,0.137809663718,0.647612150032,0.962397075446,0.000378853510698,0.935469745501,yes
sigma=0.1683,0.1683,6,2,1.13056420388,0.0142915876257,1.11664783201,0.0277480274285,0.0139163718645,0.0327348299352,0.425124306193,0.675958539213,0.000377027847159,0.550676075615,no
sigma=0.1683,0.1683,6,3,1.11044942075,0.0301377576469,1.11664783201,0.0277480274285,-0.00619841126563,0.011761437404,0.425124306193,0.675958539213,0.000377027847159,0.550676075615,yes
sigma=0.1683,0.1683,6,4,1.18298906817,0.0947127722791,1.11664783201,0.0277480274285,0.0663412361554,0.0905569224665,0.425124306193,0.675958539213,0.000377027847159,0.550676075615,yes
sigma=0.1683,0.1683,6,5,0.975774964867,0.211341832425,1.11664783201,0.0277480274285,-0.140872867146,0.209512331633,0.425124306193,0.675958539213,0.000377027847159,0.550676075615,yes
