tmin,tmax,npts,corr_ok,V_corr,err_corr_formula,err_corr_jackknife,chi2_corr,dof_corr,chi2_dof_corr,p_value_corr,cov_condition,V_uncorr,err_uncorr,chi2_uncorr,dof_uncorr,chi2_dof_uncorr,p_value_uncorr,rank_score
4,6,3,True,0.4795257140190584,0.00018926250141956387,0.00018926250141961817,14.74344357639569,2,7.371721788197845,0.0006287846126042971,7.28795341339487,0.4793202991770968,0.00017179291656318525,9.387847710915729,2,4.693923855457864,0.009150709557277797,-0.11180565115135262
3,11,9,True,0.4808262849697024,0.0001271231555458923,0.00012712315554588364,111.21501287748391,8,13.90187660968549,2.142144727316316e-20,2136.5664372449432,0.48004765134636185,0.00012702592296990147,58.76375813991477,8,7.345469767489346,8.142256150578118e-10,-0.2130375321937098
3,10,8,True,0.4808363562835071,0.00012742804637652828,0.00012742804637655916,109.90808163314004,7,15.701154519020006,9.594609194196968e-21,593.872442333442,0.48004967882342364,0.00012707107829912421,58.40549399501787,7,8.343641999288268,3.139420140288103e-10,-0.25402309038040016
3,9,7,True,0.480815960423319,0.00012784600743282045,0.0001278460074328238,106.00918645527875,6,17.668197742546457,1.394369686520393e-20,263.32749712056676,0.48004927446946,0.00012723618760026513,58.4016000205337,6,9.733600003422284,9.500281649085484e-11,-0.29836395485092915
3,8,6,True,0.4808206499705971,0.00012786707776796274,0.00012786707776797643,101.92752066377837,5,20.385504132755674,2.0734554190167952e-20,117.00863657761427,0.4800632732427168,0.0001276181681728961,56.38858682253718,5,11.277717364507435,6.758863553354687e-11,-0.3577100826551135
3,7,5,True,0.48080548605266216,0.00012982919191930532,0.00012982919191931064,101.47275208663532,4,25.36818802165883,4.7782388738411084e-21,39.675902914190914,0.4800682230460025,0.00012842542769198623,56.27005122683806,4,14.067512806709516,1.7600663183819224e-11,-0.4623637604331766
3,6,4,True,0.48079932195796693,0.0001306948104825976,0.0001306948104825844,101.30426590005018,3,33.76808863335006,8.147744056186855e-22,16.333112997143218,0.480079912174112,0.00013095910265143265,56.062144152883874,3,18.687381384294625,4.0745934320171976e-12,-0.6353617726670012
3,5,3,True,0.48089234519263574,0.00013223921237030974,0.00013223921237028407,79.99464301226206,2,39.99732150613103,4.259748699279491e-18,8.555983084151546,0.480272396484622,0.0001378162117777685,35.95917381544672,2,17.97958690772336,1.5544065551485385e-08,-0.7649464301226206
2,11,10,True,0.4848513793737065,9.025075885838412e-05,9.025075885837288e-05,2132.5735259416224,9,236.9526139935136,0.0,5676.391932913027,0.48289440387124494,8.952361309133557e-05,1056.6571653067856,9,117.40635170075396,1.0404307345537085e-221,-4.6690522798702725
2,10,9,True,0.4848637544952432,9.030366793406192e-05,9.030366793407402e-05,2116.542525340181,8,264.5678156675226,0.0,1577.1103794783842,0.48289641564880764,8.953941567843766e-05,1055.2268697107663,8,131.9033587138458,1.7851087235158954e-222,-5.226356313350452
