tau,nc,corr_id,ReW,ImW,AbsW
4,29,0,0.1240437297938858,-0.000224821017375418,0.12404393353029565
4,30,0,0.1239967058564445,-0.0001630729890262186,0.12399681308827808
4,31,0,0.1241599732108483,-0.0001173168357899781,0.12416002863626655
4,32,0,0.124489681443787,4.110616394804496e-05,0.12448968823036019
4,33,0,0.1242400941946316,0.0002405477112813971,0.12424032706288379
4,34,0,0.1242852533789169,-5.195046257239327e-05,0.12428526423640147
4,35,0,0.123874694051872,-0.0002372321637248144,0.1238749212130704
4,36,0,0.123913915096709,-0.0002417480724139864,0.12391415091394897
4,37,0,0.1243643651440251,0.0001591058593275138,0.12436446692022154
4,38,0,0.1246582278026649,-0.0001024474350764263,0.12465826989966632
4,39,0,0.124435985669354,-1.330683487881656e-06,0.12443598567646898
4,40,0,0.1235235310445341,0.0003550793004937151,0.12352404139688605
4,41,0,0.1242470787134066,-0.0001193320477311514,0.12424713601911744
4,42,0,0.1245248903067424,-0.0001066972411967516,0.12452493601768083
4,43,0,0.124373982547167,0.0003444379531177346,0.12437445948484178
4,44,0,0.1240335144886634,-6.300280270171111e-05,0.12403353048979386
4,45,0,0.124175634077634,-0.000106880023247216,0.12417568007432787
4,46,0,0.124411090130359,0.0001494294287498661,0.12441117986973071
4,47,0,0.1241981350602895,2.42862226123298e-05,0.12419813743480423
4,48,0,0.1245498885671179,-0.0001423889593608238,0.12454996995863642
4,49,0,0.1243817054625744,-0.0003096923806686616,0.12438209100650004
4,50,0,0.1245476441573577,0.0003788166600376039,0.12454822024906546
4,51,0,0.1247884507566713,-8.548136571322957e-05,0.12478848003447299
4,52,0,0.124757145776625,0.0001435317805960349,0.12475722834249767
4,53,0,0.1249514243291066,0.0001453715496769572,0.12495150889349
4,54,0,0.1241902572379625,-3.836441591835124e-05,0.12419026316366233
4,55,0,0.1244256949341232,0.0001214668891115676,0.12442575422333048
4,56,0,0.1243226278607729,0.0002069220029726326,0.1243228000606628
4,57,0,0.1242853353833289,0.0003070569068930239,0.12428571468712973
4,58,0,0.1243147183441152,0.0002916033343798896,0.12431506034862112
4,59,0,0.1242757909408294,0.0001534180480128487,0.12427588563782674
4,60,0,0.1242110430829977,-0.0003126752536556772,0.12421143662956548
4,61,0,0.124588494602404,0.0001969873560798061,0.12458865033104623
4,62,0,0.1242934031867654,0.0001668933629124022,0.12429351523366941
4,63,0,0.1242140328741446,-0.0001124469380798539,0.12421408377141846
4,64,0,0.1237941501808408,5.446542366426129e-05,0.12379416216235296
4,65,0,0.1238774585894974,0.0001186212098891635,0.12387751538347902
4,66,0,0.1234153899170747,-0.0001800882329410249,0.12341552130974137
4,67,0,0.1230138707617195,-0.0001360984081659899,0.12301394604904654
4,68,0,0.1243778732791991,-0.0002508736028182076,0.12437812628843184
4,69,0,0.1245174675587727,0.0003410523773797286,0.12451793462780424
4,70,0,0.1241544310897471,7.195753628993853e-05,0.12415445194235199
4,71,0,0.124488692403555,-0.0001143091848116185,0.12448874488457447
4,72,0,0.1241732441235659,1.056670505240375e-05,0.12417324457316056
4,73,0,0.1243334295181575,-0.0001327742052771704,0.12433350041214244
4,74,0,0.1238405989837088,0.0001934716646649058,0.12384075011048991
4,75,0,0.1236707042032744,-4.311189007741888e-06,0.12367070427841892
4,76,0,0.1240750214422823,-3.24837633195375e-05,0.12407502569452764
4,77,0,0.1243778836459629,-6.435164587629725e-05,0.12437790029335201
4,78,0,0.1241911565625535,0.000128773321512207,0.12419122332481072
4,79,0,0.124072221770341,1.021857530965275e-05,0.12407222219114139
4,80,0,0.1233586820818324,1.537689999720785e-05,0.12335868304021266
