R,T,Ncfg,Veff,err_pyerrors,relative_err_percent,status,err_jackknife,relative_err_jackknife_percent,n_valid_jackknife,jackknife_status,reliability
3,4,100,0.838952803429067,0.006659871898729749,0.7938315327761865,ok,0.006595000224278529,0.7860990746228709,100,ok,good
3,5,100,0.8617282463704838,0.017812518181073822,2.067069085422049,ok,0.016689852449254604,1.9367883691350085,100,ok,good
3,6,100,0.8658732340826368,0.06654062202714629,7.684799507360199,ok,0.037953531316827605,4.383266490162162,100,ok,good
3,7,100,0.8555746785159374,0.09754357192935413,11.4009418907244,ok,0.0966217397582853,11.293197681572744,100,ok,marginal
3,8,100,1.0053445232432807,0.21828424362923993,21.71238203248439,ok,0.21433735741904106,21.319791620048846,100,ok,marginal
3,9,100,0.38651610217110904,0.3718983036498123,96.21806221288409,ok,0.36854283514304387,95.3499305909619,100,ok,diagnostic_only
4,1,100,0.9790821427536076,0.0020190797102418,0.2062216868304087,ok,0.001961744702291063,0.20036569115373487,100,ok,good
4,2,100,0.9571813869680816,0.002876080453873988,0.3004739219787915,ok,0.0028478209567582694,0.2975215560531197,100,ok,good
4,3,100,0.9401848115350065,0.006535123129365462,0.6950892047166554,ok,0.005740430830845666,0.610564089146842,100,ok,good
4,4,100,0.9297531174003405,0.01216535828421768,1.3084503893068877,ok,0.01204753260244981,1.295777596974949,100,ok,good
4,5,100,0.9432678404638611,0.03231673092151985,3.426039724372219,ok,0.03169187591768852,3.359796078927458,100,ok,good
4,6,100,0.9105443971576467,0.08197400110009846,9.002746198426822,ok,0.0722091908756787,7.9303316896009415,100,ok,good
4,7,100,0.6888783904416297,0.20543382071718513,29.82149296125904,ok,0.1513545537549708,21.971157152707267,100,ok,diagnostic_only
4,8,100,0.7556988664118651,0.35486338838865555,46.95830629911924,ok,0.3541527994334201,46.864275596306435,100,ok,diagnostic_only
4,9,100,0.8234962746402181,0.7501454597589402,91.09275692676029,ok,0.7031929213648385,85.39114784363298,100,ok,diagnostic_only
5,1,100,1.0753149089134202,0.0029248343463565882,0.2719979349409433,ok,0.0028271609849120486,0.2629147016820242,100,ok,good
