cfg,R,T,Veff_log_Re_ratio
32,0,2,1.0431653300082437e-02
32,0,3,3.9375443933089239e-03
32,1,1,4.9719950913952199e-01
32,1,2,5.0315321844217775e-01
32,1,3,4.8464508625872676e-01
32,2,1,7.3220944535873655e-01
32,2,2,7.3782686534824549e-01
32,2,3,7.9395888478876320e-01
32,3,1,8.6504249072783390e-01
32,3,2,8.8954674626211772e-01
32,3,3,8.8995440175756324e-01
33,0,1,1.3412104146524535e-02
33,0,2,-1.3350592123041603e-02
33,0,3,3.7854667546766509e-02
33,1,1,5.0994437511855639e-01
33,1,2,4.6977178975866191e-01
33,1,3,5.0223376325599711e-01
33,2,1,7.3633309456763896e-01
33,2,2,7.0281568098583125e-01
33,2,3,6.3059587560485075e-01
33,3,1,8.9629330910680538e-01
33,3,2,8.0376208228654011e-01
33,3,3,6.4866496628399628e-01
34,0,1,8.4294653533236522e-03
34,0,2,1.6233367764418152e-02
34,0,3,-8.4179684525105894e-03
34,1,1,5.0409705617830214e-01
34,1,2,5.1230341061532059e-01
34,1,3,4.9055242839472241e-01
34,2,1,7.4880930750394614e-01
34,2,2,7.3243704417517552e-01
34,2,3,7.0065281002007218e-01
34,3,1,9.1960347183132296e-01
34,3,2,8.4054276403129269e-01
34,3,3,9.1930495371586818e-01
35,0,1,-1.9912876272393533e-03
35,0,2,-2.7628117404084234e-03
35,0,3,7.3561221170507594e-03
35,1,1,4.9287870340948936e-01
35,1,2,4.7092018376358902e-01
35,1,3,4.7241847479556143e-01
35,2,1,7.0874284238118845e-01
35,2,2,7.2312704000474270e-01
35,2,3,7.6314054387269015e-01
35,3,1,8.2818562277611885e-01
35,3,2,9.0481023229512614e-01
35,3,3,8.4281466242164360e-01
36,0,1,-9.2182893789024547e-04
36,0,2,8.3892939157387252e-03
36,0,3,1.7944993418137962e-03
36,1,1,4.7897555223724558e-01
36,1,2,4.8313890949173355e-01
36,1,3,4.9234900323446495e-01
36,2,1,6.9841278631787140e-01
36,2,2,6.8887932204063318e-01
36,2,3,6.9824578925263014e-01
36,3,1,8.1082014564913263e-01
36,3,2,8.8033487140769251e-01
36,3,3,8.5277024568153936e-01
37,0,1,8.7746768823236659e-03
37,0,2,4.9622606979684005e-03
37,0,3,-1.7616847632114629e-03
37,1,1,4.8093725285504402e-01
37,1,2,4.7059638377825591e-01
37,1,3,4.6890588680687839e-01
37,2,1,6.9286485679948961e-01
37,2,2,6.7442735729224013e-01
37,2,3,6.3480972124612367e-01
37,3,1,8.3683010633826127e-01
37,3,2,8.5415601408493114e-01
37,3,3,6.4290769419952598e-01
38,0,1,1.7251916706930034e-02
38,0,2,-7.3109651851630932e-03
38,0,3,5.4532858778735468e-03
38,1,1,4.9775882808358185e-01
38,1,2,4.6401072479716060e-01
38,1,3,4.8074411918467352e-01
38,2,1,7.2958504003069657e-01
38,2,2,6.9716190267973788e-01
38,2,3,6.4743294178178812e-01
38,3,1,8.4588490911498770e-01
38,3,2,8.0260566616589035e-01
38,3,3,8.1593984768767880e-01
39,0,1,1.5366124055322260e-03
39,0,2,5.7854414727908782e-03
39,0,3,1.5147888895382048e-03
39,1,1,4.8666337753930955e-01
39,1,2,4.8431314273843729e-01
39,1,3,4.8175878905217029e-01
39,2,1,7.1689644047403056e-01
39,2,2,7.1755443341025815e-01
39,2,3,7.0383719678953416e-01
39,3,1,8.1669793340831021e-01
39,3,2,8.5308369136878182e-01
39,3,3,8.4253839879118275e-01
40,0,1,7.3264599759690898e-03
40,0,2,-4.3136826683389945e-03
40,0,3,-6.1064059861130459e-03
40,1,1,4.9489487509975011e-01
40,1,2,4.7960464310839246e-01
40,1,3,4.5180208978563730e-01
40,2,1,7.1745628101421410e-01
40,2,2,7.0357266398593010e-01
40,2,3,7.0506331357314067e-01
40,3,1,8.3331248042304751e-01
40,3,2,8.4439214364042192e-01
40,3,3,8.1444947828217173e-01
41,0,1,1.0136583471647951e-02
41,0,2,2.3858620577636814e-02
41,0,3,-1.2441301931571778e-02
41,1,1,4.9462432356790237e-01
41,1,2,5.0906450780593682e-01
41,1,3,4.6231116520345711e-01
41,2,1,7.0611434875199819e-01
41,2,2,7.8023823625418087e-01
41,2,3,7.0105591616991592e-01
41,3,1,8.6017593307683315e-01
41,3,2,8.5804551397153805e-01
41,3,3,9.0050185978286257e-01
42,0,1,1.6101376113999557e-02
42,0,2,1.3497210756260450e-03
42,0,3,3.1392331125126402e-03
42,1,1,4.9464593176957122e-01
42,1,2,4.7034199647963409e-01
42,1,3,5.1345599620329918e-01
42,2,1,7.4266384165251975e-01
42,2,2,6.7473662995515238e-01
42,2,3,7.1813371553389926e-01
42,3,1,9.1389491088486685e-01
42,3,2,8.2861335137494307e-01
42,3,3,8.1984002561386704e-01
43,0,1,2.4877420754887164e-02
43,0,2,9.1405753375882730e-03
43,0,3,-9.3689617737501753e-03
43,1,1,5.1900685537771163e-01
43,1,2,4.8504920399201451e-01
43,1,3,4.5611832539530567e-01
43,2,1,7.2066801888841792e-01
43,2,2,7.1772685007028525e-01
43,2,3,7.0911266411301566e-01
43,3,1,8.2742662305314274e-01
43,3,2,8.6364157167453515e-01
43,3,3,7.7482644380247234e-01
44,0,1,7.4233534596586702e-03
44,0,2,6.4216136802754138e-03
44,0,3,3.7516284970326120e-03
44,1,1,4.9011839061586482e-01
44,1,2,4.9801869827974021e-01
44,1,3,4.7337378759714605e-01
44,2,1,6.8754280250621991e-01
44,2,2,7.7694829434651147e-01
44,2,3,8.1261581989437881e-01
44,3,1,8.2433993683817142e-01
44,3,2,8.6465514083981876e-01
44,3,3,8.6052492449738349e-01
45,0,1,1.0447640716491931e-02
45,0,2,-4.6635437258880901e-03
45,0,3,8.4190157165884884e-03
45,1,1,4.9337444333636693e-01
45,1,2,4.7941115803087986e-01
45,1,3,4.8141725179095107e-01
45,2,1,7.2385649066215474e-01
45,2,2,7.0054997539029262e-01
45,2,3,7.1730413325203390e-01
45,3,1,8.7697979811435955e-01
45,3,2,8.2894390890526926e-01
45,3,3,8.8699933561166899e-01
46,0,1,1.2578544174715470e-02
46,0,2,1.4164022626923887e-03
46,0,3,-6.8506490706677558e-03
46,1,1,5.0578728653790950e-01
46,1,2,4.6665650514289414e-01
46,1,3,4.6695107450593104e-01
46,2,1,7.3785852368354776e-01
46,2,2,6.8281791546579784e-01
46,2,3,6.8724217751939720e-01
46,3,1,9.2318124061073137e-01
46,3,2,7.9983547642390795e-01
46,3,3,7.5824447900062819e-01
47,0,1,9.2817486233084424e-03
47,0,2,9.8967246865124450e-03
47,0,3,-7.2018968972467970e-03
47,1,1,4.9435987735881004e-01
47,1,2,5.0107281657772251e-01
47,1,3,4.5728094753943638e-01
47,2,1,7.1505408978092866e-01
47,2,2,7.4065152673150003e-01
47,2,3,6.6623727283552259e-01
47,3,1,8.3981803338975858e-01
47,3,2,9.0134113133259275e-01
47,3,3,6.6771005348185308e-01
48,0,1,1.6275887516690312e-03
48,0,2,4.1851594913772921e-03
48,0,3,5.2279012632003878e-03
48,1,1,4.8880210389445716e-01
48,1,2,4.8280517871902762e-01
48,1,3,4.7842219691360055e-01
48,2,1,7.0522430563104754e-01
48,2,2,7.2479742941472136e-01
48,2,3,6.8857763336833111e-01
48,3,1,8.2929027729114735e-01
48,3,2,8.7646347996008855e-01
48,3,3,9.1899737023965689e-01
49,0,1,1.5224045279141589e-02
49,0,2,4.7955225418228418e-03
49,0,3,-1.3146978805087309e-03
49,1,1,5.0280478428601505e-01
49,1,2,4.7478563925795075e-01
49,1,3,5.0289689829304907e-01
49,2,1,7.4681596993393007e-01
49,2,2,6.7425709784858734e-01
49,2,3,6.5081045190682052e-01
49,3,1,9.1411111393563538e-01
49,3,2,8.2339893986789114e-01
49,3,3,8.7219107991074951e-01
50,0,1,9.8020337813066877e-03
50,0,2,9.4224255246650075e-03
50,0,3,-3.5460055814149900e-03
50,1,1,5.0350399688258662e-01
50,1,2,5.0069293446300212e-01
50,1,3,4.6815832996870255e-01
50,2,1,7.4468181574141212e-01
50,2,2,6.8889606934803826e-01
50,2,3,6.4271268398233516e-01
50,3,1,9.1440067444033690e-01
50,3,2,7.9524255760988716e-01
50,3,3,7.9110946884728750e-01
51,0,1,7.4010459428819992e-03
51,0,2,7.0883011768504058e-03
51,0,3,-4.8794957677005648e-03
51,1,1,4.9545019178923172e-01
51,1,2,4.7642422971784654e-01
51,1,3,4.5812170388162904e-01
51,2,1,7.3481071715738699e-01
51,2,2,7.0729384466334544e-01
51,2,3,7.4545614386216330e-01
51,3,1,9.0057936441784470e-01
51,3,2,8.7638654444332775e-01
51,3,3,9.2435321770112588e-01
52,0,1,1.5640037921448573e-02
52,0,2,1.8777080593606915e-02
52,0,3,-1.4375949132386778e-02
52,1,1,4.9006163097154143e-01
52,1,2,5.0393893290730607e-01
52,1,3,4.5273588476896320e-01
52,2,1,7.1946770749357147e-01
52,2,2,7.4949895427422175e-01
52,2,3,6.4992117151026951e-01
52,3,1,8.4467985135509593e-01
52,3,2,8.8534862140677795e-01
52,3,3,7.8220602186108412e-01
53,0,1,1.8601495129724633e-02
53,0,2,-1.4618219024161518e-02
53,0,3,8.2035479397858969e-03
53,1,1,5.0184054632881825e-01
53,1,2,4.6914338924908372e-01
53,1,3,4.7392647137383831e-01
53,2,1,7.2862480706279831e-01
53,2,2,7.1129923919966409e-01
53,2,3,7.0604402884158746e-01
53,3,1,8.4907996461518020e-01
53,3,2,8.7371134068204570e-01
53,3,3,7.6722365852185004e-01
54,0,1,1.3162620965954623e-02
54,0,2,4.2920124171809725e-03
54,0,3,-5.7743393561122466e-05
54,1,1,5.2188543730512249e-01
54,1,2,4.7983705791987719e-01
54,1,3,4.4420080699022890e-01
54,2,1,7.5183753280506049e-01
54,2,2,7.1611071792066694e-01
54,2,3,6.4215920072975519e-01
54,3,1,9.0209993685435619e-01
54,3,2,8.9702827362555404e-01
54,3,3,7.7441315903483454e-01
55,0,1,1.6002608055956519e-02
55,0,2,2.5836012000372967e-03
55,0,3,-3.4651332581586950e-03
55,1,1,5.0076652126338994e-01
55,1,2,5.0197462280479610e-01
55,1,3,4.8088926132730081e-01
55,2,1,7.2514018848083595e-01
55,2,2,7.5258013452598682e-01
55,2,3,6.8220700911643195e-01
55,3,1,8.5935376402177477e-01
55,3,2,8.9133686153212510e-01
55,3,3,9.4627125040113191e-01
56,0,1,2.6722930702791543e-02
56,0,2,-1.2624020871212666e-02
56,0,3,1.5391337937916708e-02
56,1,1,5.2373403418052711e-01
56,1,2,4.6439734555578521e-01
56,1,3,5.1187008827552238e-01
56,2,1,7.6659618724037737e-01
56,2,2,6.4452712850990201e-01
56,2,3,7.4414997075598166e-01
56,3,1,9.2952212025297454e-01
56,3,2,7.5114457156926706e-01
56,3,3,7.8459467311751974e-01
57,0,1,2.2742784741823407e-02
57,0,2,-2.4550101001877371e-03
57,0,3,-8.7541840871175267e-03
57,1,1,5.1112324173107981e-01
57,1,2,4.8113371667721588e-01
57,1,3,4.5685799983927566e-01
57,2,1,7.5872113553172804e-01
57,2,2,6.8937878899964722e-01
57,2,3,6.8029927189124517e-01
57,3,1,9.2237117690864423e-01
57,3,2,8.5289919284819582e-01
57,3,3,7.2922509738530494e-01
58,0,1,2.3057414652983606e-02
58,0,2,-6.3083400070022984e-04
58,0,3,-7.3209570542224836e-03
58,1,1,5.2662253290641081e-01
58,1,2,4.7096238904486015e-01
58,1,3,4.9842801744816040e-01
58,2,1,7.8066713998675064e-01
58,2,2,7.2863735017268794e-01
58,2,3,6.7227870491150155e-01
58,3,1,9.1336267831199580e-01
58,3,2,8.4134790063676756e-01
58,3,3,7.5137956881849077e-01
59,0,1,4.6764681299817940e-03
59,0,2,4.1504702281012938e-03
59,0,3,5.6422507501564323e-03
59,1,1,4.8765407763477714e-01
59,1,2,4.9466619115596105e-01
59,1,3,4.6162275670091185e-01
59,2,1,7.1097988595267259e-01
59,2,2,6.9612182688473279e-01
59,2,3,6.6805252843009577e-01
59,3,1,8.3845710786069383e-01
59,3,2,8.3051965425797381e-01
59,3,3,9.3955829306426530e-01
60,0,1,-3.6194960994456772e-03
60,0,2,6.4516250843069710e-03
60,0,3,-8.3564386545903089e-04
60,1,1,4.7557170593719195e-01
60,1,2,4.9266596077746388e-01
60,1,3,4.6800124278159694e-01
60,2,1,6.6952197472049468e-01
60,2,2,6.7364424309365856e-01
60,2,3,7.2994049657370008e-01
60,3,1,8.0743760694162681e-01
60,3,2,7.3661777148803054e-01
60,3,3,7.7003480784260125e-01
61,0,1,1.5667786455634006e-02
61,0,2,2.7481405733479319e-05
61,0,3,1.5784854454641378e-02
61,1,1,5.0567814794013499e-01
61,1,2,4.8064448136963772e-01
61,1,3,4.9892298981891875e-01
61,2,1,7.4705181105092056e-01
61,2,2,6.7388629485026397e-01
61,2,3,6.5902921053542685e-01
61,3,1,8.8295270274221993e-01
61,3,2,7.3197369279619240e-01
61,3,3,8.2502459143769913e-01
62,0,1,2.0074368329162078e-02
62,0,2,-3.9816579672194629e-03
62,0,3,-3.2032084503877357e-03
62,1,1,5.0794829939798702e-01
62,1,2,4.7635206328822394e-01
62,1,3,4.6633726543652337e-01
62,2,1,7.3050102573884346e-01
62,2,2,6.9702533422175850e-01
62,2,3,6.5415283517713707e-01
62,3,1,8.8602311881157281e-01
62,3,2,8.3173032393745316e-01
62,3,3,7.5619356480645095e-01
63,0,1,1.8290727852504528e-02
63,0,2,4.1464284750845782e-03
63,0,3,-1.2556437449580855e-02
63,1,1,5.0161505302062925e-01
63,1,2,4.8782733909237574e-01
63,1,3,4.7553865567205461e-01
63,2,1,7.4080769334567365e-01
63,2,2,7.3539636712017298e-01
63,2,3,7.1200614784727445e-01
63,3,1,9.0789378511816810e-01
63,3,2,8.8423947966131355e-01
63,3,3,8.2226873370590281e-01
64,0,1,5.9372099440308714e-03
64,0,2,6.5572641069402068e-03
64,0,3,1.9854397683909618e-03
64,1,1,5.0891692776693942e-01
64,1,2,4.9551410624416109e-01
64,1,3,4.7447709700285967e-01
64,2,1,7.4100268878047537e-01
64,2,2,7.3168798992131290e-01
64,2,3,6.7505634180034724e-01
64,3,1,8.5118932496098088e-01
64,3,2,8.2738358446543392e-01
64,3,3,7.8707073512837900e-01
65,0,1,1.0398201195815582e-02
65,0,2,2.6853050754141326e-03
