R,T,Ncfg,Veff,err_pyerrors,relative_err_percent,status,err_jackknife,relative_err_jackknife_percent,n_valid_jackknife,jackknife_status,reliability,mean_Re,sem_Re,relative_err_Re_percent,nonpositive_configs,region
3,5,100,0.8617282463704838,0.0178125181810738,2.067069085422049,ok,0.0166898524492546,1.9367883691350083,100,ok,good,1.9787959596697312e-09,1.518650950249669e-11,0.7674621240398823,0,validated_R1-6
3,6,100,0.8658732340826368,0.0665406220271462,7.684799507360199,ok,0.0379535313168276,4.383266490162162,100,ok,good,8.359055190208632e-10,1.455942677225184e-11,1.741755071710258,0,validated_R1-6
3,7,100,0.8555746785159374,0.0975435719293541,11.4009418907244,ok,0.0966217397582853,11.293197681572744,100,ok,marginal,3.516521079145787e-10,1.5125593916659188e-11,4.301294824125842,2,validated_R1-6
3,8,100,1.0053445232432807,0.2182842436292399,21.71238203248439,ok,0.214337357419041,21.319791620048846,100,ok,marginal,1.494658111285236e-10,1.533182615382485e-11,10.257747934503378,18,validated_R1-6
3,9,100,0.386516102171109,0.3718983036498123,96.21806221288408,ok,0.3685428351430438,95.3499305909619,100,ok,diagnostic_only,5.469231223117455e-11,1.2573985471321748e-11,22.990407533281417,36,validated_R1-6
4,1,100,0.9790821427536076,0.0020190797102418,0.2062216868304087,ok,0.001961744702291,0.2003656911537348,100,ok,good,4.630734191415227e-08,6.7880114967011e-11,0.1465860750393572,0,validated_R1-6
4,2,100,0.9571813869680816,0.0028760804538739,0.3004739219787915,ok,0.0028478209567582,0.2975215560531197,100,ok,good,1.7395618748079514e-08,4.00248973328904e-11,0.2300860803661219,0,validated_R1-6
4,3,100,0.9401848115350064,0.0065351231293654,0.6950892047166554,ok,0.0057404308308456,0.610564089146842,100,ok,good,6.679458968033212e-09,2.485431547718272e-11,0.3721007284591666,0,validated_R1-6
4,4,100,0.9297531174003404,0.0121653582842176,1.3084503893068875,ok,0.0120475326024498,1.295777596974949,100,ok,good,2.608700435563784e-09,1.6070382707880673e-11,0.6160302075622414,0,validated_R1-6
4,5,100,0.9432678404638613,0.0323167309215198,3.426039724372219,ok,0.0316918759176885,3.359796078927458,100,ok,good,1.029526576924668e-09,1.3687096389580184e-11,1.3294553726301417,0,validated_R1-6
4,6,100,0.9105443971576468,0.0819740011000984,9.002746198426822,ok,0.0722091908756787,7.930331689600941,100,ok,good,4.00849682748607e-10,1.2795793116337376e-11,3.19216745504131,0,validated_R1-6
4,7,100,0.6888783904416297,0.2054338207171851,29.82149296125904,ok,0.1513545537549708,21.971157152707267,100,ok,diagnostic_only,1.61263891996991e-10,1.2635308208113288e-11,7.835175036175518,12,validated_R1-6
4,8,100,0.7556988664118651,0.3548633883886555,46.95830629911924,ok,0.3541527994334201,46.86427559630644,100,ok,diagnostic_only,8.097688255988442e-11,1.3280881232974608e-11,16.400830475479303,31,validated_R1-6
4,9,100,0.8234962746402181,0.7501454597589402,91.09275692676027,ok,0.7031929213648385,85.39114784363298,100,ok,diagnostic_only,3.80334047916034e-11,1.4406279822524989e-11,37.877965176826486,43,validated_R1-6
5,1,100,1.0753149089134202,0.0029248343463565,0.2719979349409433,ok,0.002827160984912,0.2629147016820242,100,ok,good,3.5968315022574076e-08,7.144845209645869e-11,0.1986427555797844,0,validated_R1-6
5,2,100,1.0513096836051303,0.0039705069018021,0.3776724369347204,ok,0.0039317280509493,0.3739838139288105,100,ok,good,1.2272039995824606e-08,4.054641391578048e-11,0.3303966897889498,0,validated_R1-6
5,3,100,1.0515687086878749,0.0089961637923146,0.8554993808763949,ok,0.0085071059741522,0.8089919283322162,100,ok,good,4.288829363779056e-09,2.0349281865212604e-11,0.4744717063604987,0,validated_R1-6
5,4,100,1.023620397551822,0.0231305404530445,2.2596795167784407,ok,0.0229036311158799,2.237512184268525,100,ok,good,1.4984707850255642e-09,1.4110130852863424e-11,0.9416353654584396,0,validated_R1-6
5,5,100,0.9731082139987262,0.0525823513599673,5.403546142509099,ok,0.0494466652636266,5.081312083518329,100,ok,good,5.383882708353216e-10,1.290919852596784e-11,2.397748841359216,0,validated_R1-6
5,6,100,0.9069538375172864,0.1341494097765815,14.791205927724487,ok,0.1329463379973438,14.658556201854092,100,ok,marginal,2.0346047884463903e-10,1.1114053077787211e-11,5.462512002772697,2,validated_R1-6
5,7,100,1.2499538860871489,0.4993309963627311,39.94795343417309,ok,0.4365057378301391,34.92174732914148,100,ok,diagnostic_only,8.214762564216616e-11,1.1216176663791586e-11,13.6536833245176,21,validated_R1-6
5,8,100,,,,nonpositive_central_mean,,,0,nonpositive_central_mean,invalid,2.3536774144882464e-11,1.0760306426287074e-11,45.716997410312736,40,validated_R1-6
5,9,100,,,,nonpositive_central_mean,,,0,nonpositive_central_mean,invalid,-1.225729469580306e-11,1.2441233394172864e-11,101.50064678164902,50,validated_R1-6
6,1,100,1.1688818575386262,0.0039258079847888,0.3358601178955464,ok,0.00366394164397,0.3134569691829556,100,ok,good,2.7445492886197253e-08,7.16199043463724e-11,0.2609532451952834,0,validated_R1-6
6,2,100,1.1355561901887086,0.0058971914214242,0.5193218505941346,ok,0.0058394933316574,0.5142408083467039,100,ok,good,8.527703537172951e-09,3.612967498382497e-11,0.4236741442327679,0,validated_R1-6
6,3,100,1.1383745277659616,0.0157097544747238,1.380016338344637,ok,0.0114906458721689,1.0093906347956634,100,ok,good,2.739468471740199e-09,1.8065027298543187e-11,0.6594354884861185,0,validated_R1-6
6,4,100,1.116332409251029,0.0442412993552757,3.9630936975983846,ok,0.0368781143093855,3.303506554479398,100,ok,good,8.775594166958218e-10,1.1574031342837352e-11,1.318888627098981,0,validated_R1-6
6,5,100,1.1782821038087254,0.1160757925695686,9.851273493364678,ok,0.0983292156263108,8.34513358969534,100,ok,good,2.8738197526433275e-10,1.0760376911581068e-11,3.744276898954333,0,validated_R1-6
