cfg,T,R,Nsrc,Re,Im
8,2,3,13824,2.5588820074125617e-08,-1.4794224006650282e-10
8,2,4,13824,1.7977258446706577e-08,-3.5493249641962767e-10
8,3,0,13824,1.7453134608958551e-07,0.0
8,3,1,13824,3.8321967874485044e-08,4.361669206837548e-11
8,3,2,13824,1.869731153917035e-08,1.704397781051328e-11
8,3,3,13824,1.0934895842991673e-08,2.110125092574829e-10
8,3,4,13824,6.9983053790281696e-09,-3.1602838322996174e-10
8,4,0,13824,1.765119475522856e-07,0.0
8,4,1,13824,2.484935340326426e-08,-2.867622859660328e-10
8,4,2,13824,9.749376949977139e-09,3.7504365668341277e-10
8,4,3,13824,3.953119610116174e-09,1.804184002751544e-11
8,4,4,13824,2.3079980255471242e-09,-1.186735233672783e-10
8,5,0,13824,1.75445665241648e-07,0.0
8,5,1,13824,1.498501105944429e-08,-9.764527720758262e-11
8,5,2,13824,3.991871585871748e-09,-2.8283622818453727e-10
8,5,3,13824,1.0043970782484947e-09,1.7795537760663473e-10
8,5,4,13824,8.312643647650943e-10,-3.692451804657692e-10
8,6,0,13824,1.7432230115545048e-07,0.0
8,6,1,13824,9.168800261606938e-09,-1.0366000568725765e-10
8,6,2,13824,2.262964457829806e-09,3.9455907031899406e-10
8,6,3,13824,4.3454217475832755e-10,-4.049695689788847e-10
8,6,4,13824,1.3792041078813895e-10,-3.5545350749410076e-10
8,7,0,13824,1.7255034826723054e-07,0.0
8,7,1,13824,5.3542843427725946e-09,-2.0703071609729408e-10
8,7,2,13824,9.844611369063425e-10,2.2136959801060455e-11
8,7,3,13824,-4.9809946355009745e-11,-2.1260838930938514e-10
8,7,4,13824,1.6646258601510385e-10,-4.789960190795965e-10
8,8,0,13824,1.730852197956723e-07,0.0
8,8,1,13824,2.938742041636179e-09,4.5878165618080836e-10
8,8,2,13824,4.695668761387183e-10,1.6473392210549677e-10
8,8,3,13824,4.778178092657894e-10,-6.899511630510843e-11
8,8,4,13824,6.804544649799339e-10,9.351071960555855e-11
9,1,0,13824,1.770711163282057e-07,0.0
9,1,1,13824,1.0277757228005366e-07,3.286181209558064e-10
9,1,2,13824,7.569079624477004e-08,3.633984319733879e-10
9,1,3,13824,5.889099771616621e-08,4.52647253944805e-10
9,1,4,13824,4.674244835094099e-08,4.256385469776602e-10
9,2,0,13824,1.7732207383651947e-07,0.0
9,2,1,13824,6.338580517820957e-08,1.7185873254188138e-12
9,2,2,13824,3.658847290372562e-08,4.662927871532471e-10
9,2,3,13824,2.5109188031804367e-08,2.7004145199656474e-10
9,2,4,13824,1.809538621853841e-08,5.704096740728305e-10
9,3,0,13824,1.760934993753065e-07,0.0
9,3,1,13824,3.8868934544457003e-08,-1.5251406202924947e-10
9,3,2,13824,1.77942502637808e-08,2.851381433067771e-10
9,3,3,13824,1.061883242960815e-08,4.271257080453068e-10
9,3,4,13824,7.66011994216932e-09,4.400583727771952e-10
9,4,0,13824,1.7412714242290335e-07,0.0
9,4,1,13824,2.3843320123378756e-08,2.7750122878218926e-10
