cfg,T,R,Nsrc,Re,Im
3,1,5,82944,3.541325278767481e-08,-3.035418629041044e-10
3,1,6,82944,2.6840353183173033e-08,-2.8269549571343264e-10
3,2,0,82944,1.7552113712582452e-07,0.0
3,2,1,82944,6.19936498041965e-08,-3.2186773036365457e-10
3,2,2,82944,3.608559312007104e-08,-2.7798778628271626e-10
3,2,3,82944,2.4481970285145146e-08,-4.0660334854114597e-10
3,2,4,82944,1.6999885453959076e-08,-4.849073508915679e-10
3,2,5,82944,1.2021012070175055e-08,-3.2621483312036253e-10
3,2,6,82944,8.294999898078521e-09,-5.455062795895751e-10
3,3,0,82944,1.7409538433985126e-07,0.0
3,3,1,82944,3.806239969244141e-08,1.987437818226447e-12
3,3,2,82944,1.7804821202476267e-08,-1.3166120858452125e-10
3,3,3,82944,1.0491875686748817e-08,-1.8432491482923176e-10
3,3,4,82944,6.582380172320183e-09,-2.0483923682419561e-10
3,3,5,82944,4.393495791489256e-09,-6.939702839554449e-11
3,3,6,82944,2.9139931176548983e-09,-3.250161392470632e-11
3,4,0,82944,1.7440941270344892e-07,0.0
3,4,1,82944,2.367785859734043e-08,4.878152109164512e-11
3,4,2,82944,8.938587387808723e-09,-4.1411059309161713e-11
3,4,3,82944,4.598728380492325e-09,-1.041535850726819e-10
3,4,4,82944,2.6142144435319154e-09,-1.1797075332940676e-10
3,4,5,82944,1.6245819088600823e-09,1.9602319162782656e-11
3,4,6,82944,1.0207529504555285e-09,1.8554775711004096e-10
3,5,0,82944,1.7455631346134763e-07,0.0
3,5,1,82944,1.4634131325745068e-08,1.0236533589376888e-11
3,5,2,82944,4.28517758023063e-09,-1.1233309120492538e-10
3,5,3,82944,2.0940376776562664e-09,3.074077489362443e-11
3,5,4,82944,1.0368425739517302e-09,5.245746557542445e-11
3,5,5,82944,4.845849965293877e-10,1.2101172730623157e-10
3,5,6,82944,4.2459693098120504e-10,5.0091500065494576e-11
3,6,0,82944,1.7327628834271044e-07,0.0
3,6,1,82944,8.998281084866766e-09,1.7428510356687762e-10
3,6,2,82944,2.030581688815285e-09,1.913851126558533e-11
3,6,3,82944,5.852947117053109e-10,1.0694810917164365e-10
3,6,4,82944,4.4448811271607886e-10,2.454053012598623e-11
3,6,5,82944,1.5401486353726393e-10,8.219870495347337e-13
3,6,6,82944,-1.0372958745842221e-11,1.9922054776035817e-10
3,7,0,82944,1.7390995397199327e-07,0.0
3,7,1,82944,5.7192158547306715e-09,-5.4439278585395337e-11
3,7,2,82944,8.874420553970568e-10,7.672707227285162e-11
3,7,3,82944,1.5791297955843508e-10,-2.1572985217038626e-11
3,7,4,82944,1.6806293162027917e-10,-1.2218275723345714e-10
3,7,5,82944,2.1314973662305008e-10,-6.310953124644976e-11
3,7,6,82944,-1.3142152616153585e-10,2.0222252574121587e-10
3,8,0,82944,1.740701574820457e-07,0.0
3,8,1,82944,3.5197814911814363e-09,-3.1679246514625925e-11
3,8,2,82944,6.353888919591544e-10,-1.740223916571149e-11
3,8,3,82944,7.118312721054126e-11,-1.229697129045206e-10
3,8,4,82944,2.970470927214611e-10,-1.803472490243571e-11
3,8,5,82944,1.3326499847235626e-10,2.971348733813127e-12
3,8,6,82944,9.047683006660723e-11,6.2614899529021e-11
4,1,0,82944,1.7644005558723523e-07,0.0
4,1,1,82944,1.0240803596375747e-07,1.7609318869057214e-10
4,1,2,82944,7.513429991772826e-08,5.411692145380298e-10
4,1,3,82944,5.8718803796359034e-08,7.750369398639833e-10
4,1,4,82944,4.615240738868258e-08,7.523069718890025e-10
4,1,5,82944,3.587843615017722e-08,7.410110779253572e-10
4,1,6,82944,2.737429527898491e-08,6.281210550743712e-10
4,2,0,82944,1.7465215315895327e-07,0.0
4,2,1,82944,6.270670245252683e-08,2.5020813880077205e-10
4,2,2,82944,3.655950987252403e-08,3.117869719378194e-10
4,2,3,82944,2.4699641529724937e-08,1.86769682357933e-10
4,2,4,82944,1.7352829708386933e-08,1.4765257889407668e-10
4,2,5,82944,1.2212185513151328e-08,2.912131589064117e-10
4,2,6,82944,8.326265633145746e-09,2.4591860048067443e-10
4,3,0,82944,1.7462524802262797e-07,0.0
4,3,1,82944,3.862040999370632e-08,3.233131473357982e-11
4,3,2,82944,1.8149953305833563e-08,1.370385006622883e-10
4,3,3,82944,1.071696088608918e-08,3.622256205733981e-10
4,3,4,82944,6.948485230264159e-09,1.3642135868986845e-10
4,3,5,82944,4.32110121238293e-09,7.100632632252343e-11
4,3,6,82944,2.577513145471279e-09,6.860913891611659e-11
4,4,0,82944,1.7438000194219282e-07,0.0
4,4,1,82944,2.3981439891486192e-08,6.512842768311403e-11
4,4,2,82944,8.969682580844959e-09,7.83526576617313e-11
4,4,3,82944,4.419216793538888e-09,8.444351948023442e-11
4,4,4,82944,2.792349173929666e-09,1.0936534511086816e-10
4,4,5,82944,1.5957229376171028e-09,4.045184468844115e-11
4,4,6,82944,7.618452663179545e-10,1.350440397163202e-10
4,5,0,82944,1.7485105897851224e-07,0.0
4,5,1,82944,1.4760529163427708e-08,-2.0364079731736712e-10
4,5,2,82944,4.423620207695975e-09,-1.9933840460765498e-10
4,5,3,82944,1.8047107855909926e-09,-5.627539667408696e-11
4,5,4,82944,1.005021785886102e-09,2.947079508924262e-10
4,5,5,82944,5.686549923126052e-10,6.294804256597324e-11
4,5,6,82944,3.3126130837699093e-10,8.359433075733539e-11
4,6,0,82944,1.7414709236307394e-07,0.0
4,6,1,82944,9.177288197941886e-09,-1.1605406070021811e-10
