R,Tmin,Tmax,fit_window,n_points,plateau_value,err_plateau_jackknife,gls_error,chi2,dof,chi2_per_dof,p_value,covariance_rank,status
3,1,4,1-4,4,0.8587562071195703,0.001057922838267747,0.0010579228382677599,169.46786101935828,3,56.48928700645276,1.657851681098041e-36,4,ok
3,1,5,1-5,5,0.8589607469695695,0.0010416621500474342,0.0010416621500473756,170.69327684422663,4,42.67331921105666,7.42457021734068e-36,5,ok
3,1,6,1-6,6,0.8589927104822467,0.0010413980526368675,0.0010413980526368543,172.5504099704414,5,34.51008199408828,2.0838956448794978e-35,6,ok
3,1,7,1-7,7,0.8591926783649345,0.0010261324769459891,0.0010261324769460034,173.8173480169218,6,28.969558002820303,6.968384497869979e-35,7,ok
3,2,4,2-4,3,0.8453435662603267,0.0015120233956347812,0.0015120233956346831,15.314669913834532,2,7.657334956917266,0.00047256514055833563,3,ok
3,2,5,2-5,4,0.8454390778536367,0.001505005615614481,0.0015050056156144383,15.745526705263968,3,5.248508901754656,0.0012786636655400232,4,ok
3,2,6,2-6,5,0.8454361500290775,0.0015050030909470595,0.001505003090947077,16.87355029408102,4,4.218387573520255,0.0020454021856454313,5,ok
3,2,7,2-7,6,0.8454257058847995,0.0015035862331476773,0.0015035862331475812,16.899139484731073,5,3.3798278969462148,0.004695107623833278,6,ok
3,3,5,3-5,3,0.8365061122950332,0.002918914708153985,0.0029189147081540513,2.9881160592027127,2,1.4940580296013564,0.22445993979819098,3,ok
3,3,6,3-6,4,0.836333075802059,0.0029088934318065294,0.0029088934318064856,3.50079694347254,3,1.1669323144908466,0.32065877461880893,4,ok
3,3,7,3-7,5,0.8364635985012222,0.002881725599768281,0.002881725599768269,3.609087881481592,4,0.902271970370398,0.4614862576959332,5,ok
3,4,6,4-6,3,0.8425967072565521,0.005827836479875454,0.005827836479875448,1.9623665150717955,2,0.9811832575358977,0.3748672717980139,3,ok
3,4,7,4-7,4,0.8427628797537247,0.005797724079271928,0.005797724079272029,2.0412450817560175,3,0.6804150272520059,0.5638904149956478,4,ok
3,5,7,5-7,3,0.862108713884276,0.014775551619692769,0.014775551619692715,0.01496154856090935,2,0.007480774280454675,0.9925471370685957,3,ok
4,1,3,1-3,3,0.968182727748369,0.0015163741741924422,0.0015163741741924675,77.58655149154264,2,38.79327574577132,1.4200198283287224e-17,3,ok
4,1,4,1-4,4,0.9673962976259887,0.0015017422011214944,0.0015017422011214998,91.59149639764745,3,30.530498799215817,9.969955703141594e-20,4,ok
4,1,5,1-5,5,0.9672574564857901,0.001497753941022438,0.0014977539410226124,93.20290085948501,4,23.300725214871253,2.747055385620247e-19,5,ok
4,1,6,1-6,6,0.9669352188643717,0.0014622384293351807,0.0014622384293351293,94.19064353650829,5,18.838128707301657,8.83791079083737e-19,6,ok
4,1,7,1-7,7,0.9670010678735086,0.001461859887727765,0.0014618598877278108,98.10799822724987,6,16.351333037874976,6.225005590099446e-19,7,ok
4,2,4,2-4,3,0.9520397162204028,0.0022694542766176612,0.002269454276617642,10.137656755526939,2,5.068828377763469,0.006289785077556661,3,ok
4,2,5,2-5,4,0.9518857784393565,0.0022597476414792,0.0022597476414792242,10.676670769049924,3,3.5588902563499745,0.01360910513926856,4,ok
4,2,6,2-6,5,0.9517551036251786,0.0022136232501891694,0.002213623250189114,10.759430339368336,4,2.689857584842084,0.029404965698970883,5,ok
4,2,7,2-7,6,0.9517792718629696,0.0022135854148760225,0.0022135854148761258,14.246516249234936,5,2.8493032498469875,0.014117060175170932,6,ok
4,3,5,3-5,3,0.9381153976082582,0.004887911784139147,0.004887911784139091,0.582385689508081,2,0.2911928447540405,0.7473715374398462,3,ok
4,3,6,3-6,4,0.9379901225113303,0.00487657378778783,0.004876573787787805,0.7241424611100159,3,0.2413808203700053,0.8675112391624782,4,ok
4,3,7,3-7,5,0.9384653813290774,0.004870931249615512,0.004870931249615633,4.830836923156822,4,1.2077092307892054,0.3050991602226345,5,ok
4,4,6,4-6,3,0.9316866014190072,0.01017540148550095,0.01017540148550087,0.22595461663310287,2,0.11297730831655144,0.8931709274380157,3,ok
4,4,7,4-7,4,0.9265201406445623,0.009646669331081376,0.009646669331081274,2.7727938240163663,3,0.9242646080054554,0.4279981420143262,4,ok
4,5,7,5-7,3,0.9267647293317364,0.02817774881036832,0.02817774881036835,2.772708474756903,2,1.3863542373784514,0.2499850313834967,3,ok
5,1,3,1-3,3,1.0657712759757627,0.002067629250372856,0.0020676292503728957,25.12628281857688,2,12.56314140928844,3.4986219020105992e-06,3,ok
5,1,4,1-4,4,1.0654939033676938,0.0020636706441424096,0.0020636706441423693,29.830616450935945,3,9.943538816978648,1.4980408250182708e-06,4,ok
5,1,5,1-5,5,1.065837007392709,0.0020565152206340896,0.0020565152206340792,33.823617961162924,4,8.455904490290731,8.09905092685813e-07,5,ok
5,1,6,1-6,6,1.065283184637802,0.0020340856889122655,0.0020340856889121666,37.16660177705394,5,7.433320355410788,5.54607072443162e-07,6,ok
5,1,7,1-7,7,1.0657054390759522,0.00199752911541985,0.0019975291154196145,38.37637490303963,6,6.3960624838399385,9.482110613852073e-07,7,ok
5,2,4,2-4,3,1.0505646376734081,0.0034798876652315266,0.0034798876652315184,1.4410693237585448,2,0.7205346618792724,0.4864920776439716,3,ok
5,2,5,2-5,4,1.0505657569308158,0.003479887600684196,0.0034798876006840486,4.2296646378878915,3,1.409888212629297,0.23770862355423322,4,ok
5,2,6,2-6,5,1.0498301145027404,0.003437060591617087,0.003437060591617097,6.056507825767568,4,1.514126956441892,0.19496779204661596,5,ok
5,2,7,2-7,6,1.0500132194824598,0.0034292757878664,0.0034292757878665986,6.683738901039909,5,1.336747780207982,0.2452433216233284,6,ok
5,3,5,3-5,3,1.0457748651939631,0.00746537305296022,0.00746537305296036,3.703495492816995,2,1.8517477464084975,0.15696259563077544,3,ok
5,3,6,3-6,4,1.0442448616964386,0.007367867721872229,0.0073678677218720345,5.322024322451662,3,1.7740081074838872,0.14967963346840796,4,ok
5,3,7,3-7,5,1.0439234468313754,0.007353406113388855,0.00735340611338887,5.807279218556982,4,1.4518198046392454,0.2140104874926949,5,ok
5,4,6,4-6,3,1.0091105511246243,0.01924660499658648,0.019246604996586363,1.4174406989030846,2,0.7087203494515423,0.49227373293469356,3,ok
5,4,7,4-7,4,1.0081004277626582,0.019154140378042923,0.019154140378043003,1.7048055155123747,3,0.5682685051707915,0.6358659485092404,4,ok
5,5,7,5-7,3,0.9648424293298978,0.04526704849344451,0.045267048493444574,0.5924365462730296,2,0.2962182731365148,0.7436250969222689,3,ok
6,1,3,1-3,3,1.1572434752191998,0.002738334868065987,0.0027383348680661266,22.873237573869044,2,11.436618786934522,1.0792935190242945e-05,3,ok
6,1,4,1-4,4,1.1566819461967732,0.0027264094584021977,0.0027264094584020138,27.711631900731437,3,9.237210633577146,4.17509964549917e-06,4,ok
6,1,5,1-5,5,1.1567237195062356,0.0027251433068607458,0.002725143306860648,27.96444050948207,4,6.991110127370518,1.2681629940251024e-05,5,ok
6,1,6,1-6,6,1.1571007584832944,0.002714085885742026,0.0027140858857419613,30.32808027568226,5,6.065616055136452,1.2709865110244644e-05,6,ok
6,1,7,1-7,7,,,,,0,,,0,invalid_veff_in_window
6,2,4,2-4,3,1.1352797621705695,0.004913849660740558,0.004913849660740484,0.30397490603864913,2,0.15198745301932456,0.8589990585180965,3,ok
6,2,5,2-5,4,1.135270723007357,0.004913787088423707,0.004913787088423567,0.4368443521207014,3,0.14561478404023379,0.932530427668927,4,ok
6,2,6,2-6,5,1.1355318522955864,0.004910500181394989,0.004910500181394725,2.5484980473859493,4,0.6371245118464873,0.6359730280545817,5,ok
6,2,7,2-7,6,,,,,0,,,0,invalid_veff_in_window
6,3,5,3-5,3,1.1361573714758364,0.010384162432821897,0.010384162432821848,0.4274503081879876,2,0.2137251540939938,0.8075703119174779,3,ok
6,3,6,3-6,4,1.1361189907054425,0.010384128927011536,0.01038412892701154,2.5443802336582317,3,0.848126744552744,0.46732394462285476,4,ok
6,3,7,3-7,5,,,,,0,,,0,invalid_veff_in_window
6,4,6,4-6,3,1.1174425712273504,0.032129237270817464,0.03212923727081744,2.1670686226079026,2,1.0835343113039513,0.33839740784769407,3,ok
6,4,7,4-7,4,,,,,0,,,0,invalid_veff_in_window
6,5,7,5-7,3,,,,,0,,,0,invalid_veff_in_window
