T,R,Ncfg,mean_Re_T,mean_Re_Tp1,Veff_log_ratio_of_means,err_Veff_jackknife,relative_err_Veff_percent,n_valid_jackknife,status
4,6,100,8.910216527982021e-10,2.917100415918765e-10,1.1166084281950515,0.011879722317083162,1.063911216959576,100,ok
5,0,100,1.7450001822557482e-07,1.7443418554814598e-07,0.00037733576988433675,0.00011144271221018252,29.534096977962786,100,ok
5,1,100,1.4696118190989102e-08,9.103508575733934e-09,0.47892349328476536,0.0005050504791428464,0.10545535690447871,100,ok
5,2,100,4.385709680293635e-09,2.1778223123177927e-09,0.7000260172165294,0.0022866605057486077,0.32665364565175964,100,ok
5,3,100,1.9511595055764223e-09,8.346781343408769e-10,0.8491329104029447,0.006063341766291834,0.7140627447138465,100,ok
5,4,100,1.0028063710705158e-09,3.943029481337646e-10,0.9334382018097038,0.01145185714490287,1.226846846711499,100,ok
5,5,100,5.392872736215731e-10,1.9260580856820957e-10,1.0296027464846373,0.01856152978398433,1.8027855740827015,100,ok
5,6,100,2.917100415918765e-10,9.197548649686346e-11,1.1542382102383764,0.03854878236687199,3.3397596808817127,100,ok
6,0,100,1.7443418554814598e-07,1.7442919803416466e-07,2.8592934749702853e-05,0.00012031255578812364,420.7772194121276,100,ok
6,1,100,9.103508575733934e-09,5.6418796312152096e-09,0.47844261905296537,0.0007951164215463482,0.16618846020034972,100,ok
6,2,100,2.1778223123177927e-09,1.0827959735625125e-09,0.6987788780159423,0.004028999357432574,0.5765771525424749,100,ok
6,3,100,8.346781343408769e-10,3.621644544874286e-10,0.8349477798542004,0.013096797833151458,1.5685768797946185,100,ok
6,4,100,3.943029481337646e-10,1.5979643699766995e-10,0.9032187812873369,0.028210040447780665,3.123278770573564,100,ok
6,5,100,1.9260580856820957e-10,7.102930498944748e-11,0.9975531194074794,0.05319937499433136,5.332986681043152,100,ok
6,6,100,9.197548649686346e-11,2.7440834754574002e-11,1.209489866943553,0.11711650142142209,9.683132089182516,100,ok
7,0,100,1.7442919803416466e-07,1.7443102580471544e-07,-1.0478526503747672e-05,0.00011568105208288358,1103.9820535979936,100,ok
7,1,100,5.6418796312152096e-09,3.4958276131314967e-09,0.47864713110197166,0.0013460427368726221,0.28121817710965435,100,ok
7,2,100,1.0827959735625125e-09,5.411845815894308e-10,0.6935414326028372,0.00875619708906121,1.262534100695254,100,ok
7,3,100,3.621644544874286e-10,1.5576544814020412e-10,0.8437470645897027,0.02988752939602784,3.5422380296589884,100,ok
7,4,100,1.5979643699766995e-10,7.750884852092829e-11,0.7235086321427593,0.05265354879953725,7.2775287619716895,100,ok
7,5,100,7.102930498944748e-11,2.3942417168327464e-11,1.0874408754159073,0.1789736977662416,16.45824631134916,100,ok
7,6,100,2.7440834754574002e-11,6.520096277482573e-12,1.4371430811654355,0.5048458795935858,35.128435450156196,100,ok
