R_over_a,aV,err_aV_jackknife,lower_1sigma,upper_1sigma
3.7375000000000003,0.9182667811037737,0.0009524515841713899,0.9173143295196023,0.919219232687945
3.75,0.9195818488556508,0.0009587583006625632,0.9186230905549881,0.9205406071563134
3.7625,0.9208952644567789,0.0009651050182749893,0.919930159438504,0.9218603694750539
3.7750000000000004,0.9222070443192515,0.0009714912395946737,0.9212355530796568,0.9231785355588462
3.7875,0.9235172046385006,0.0009779164722401239,0.9225392881662605,0.9244951211107407
3.8000000000000003,0.9248257613968611,0.000984380228935729,0.9238413811679254,0.9258101416257969
3.8125,0.9261327303670626,0.0009908820275781299,0.9251418483394844,0.9271236123946407
3.825,0.927438127115656,0.0009974213912920615,0.9264407057243639,0.9284355485069481
3.8375000000000004,0.9287419670063701,0.0010039978484795693,0.9277379691578905,0.9297459648548497
3.85,0.9300442652034052,0.0010106109328606758,0.9290336542705445,0.9310548761362659
3.8625000000000003,0.9313450366746613,0.001017260183508231,0.9303277764911531,0.9323622968581695
3.875,0.9326442961949034,0.0010239451448738628,0.9316203510500295,0.9336682413397773
3.8875,0.9339420583488685,0.001030665366808634,0.9329113929820598,0.9349727237156771
3.9000000000000004,0.935238337534309,0.0010374204045794056,0.9342009171297295,0.9362757579388884
3.9125,0.9365331479649808,0.0010442098188750508,0.9354889381461057,0.9375773577838559
3.9250000000000003,0.9378265036735728,0.0010510331758118816,0.9367754704977609,0.9388775368493847
3.9375,0.9391184185145811,0.001057890046931009,0.9380605284676501,0.9401763085615121
3.95,0.9404089061671284,0.001064780009192609,0.9393441261579357,0.941473686176321
3.9625000000000004,0.9416979801377295,0.0010717026449644804,0.9406262774927651,0.942769682782694
3.975,0.9429856537630072,0.001078657542007554,0.9419069962209997,0.9440643113050148
3.9875000000000003,0.9442719402123532,0.001085644293457095,0.943186295918896,0.9453575845058103
4.0,0.9455568524905413,0.0010926624977989614,0.9444641899927424,0.9466495149883403
4.0125,0.9468404034402932,0.0010997117588461998,0.945740691681447,0.9479401151991393
4.025,0.9481226057447927,0.0011067916857070868,0.9470158140590856,0.9492293974304997
4.0375,0.9494034719301568,0.001113901892755719,0.9482895700374011,0.9505173738229126
4.050000000000001,0.9506830143678593,0.0011210419995955686,0.9495619723682637,0.9518040563674549
4.0625,0.9519612452771089,0.0011282116310231613,0.9508330336460857,0.9530894569081321
4.075,0.9532381767271864,0.00113541041698963,0.9521027663101967,0.954373587144176
4.0875,0.9545138206397349,0.001142637992556739,0.9533711826471781,0.9556564586322916
4.1,0.9557881887910127,0.0011498939978554941,0.9546382947931572,0.9569380827888682
4.112500000000001,0.9570612928141015,0.0011571780780408661,0.9559041147360606,0.9582184708921423
4.125,0.9583331442010751,0.0011644898832438647,0.9571686543178312,0.959497634084319
4.1375,0.9596037543051313,0.0011718290685241667,0.9584319252366071,0.9607755833736555
4.15,0.9608731343426822,0.0011791952938203622,0.9596939390488618,0.9620523296365026
4.1625,0.9621412953954076,0.0011865882238993265,0.9609547071715083,0.9633278836193069
4.175000000000001,0.9634082484122733,0.0011940075283043787,0.962214240883969,0.9646022559405777
4.1875,0.9646740042115108,0.0012014528813025286,0.9634725513302083,0.9658754570928134
4.2,0.9659385734825634,0.001208923961831423,0.9647296495207319,0.9671474974443949
4.2125,0.9672019667879962,0.001216420453444372,0.9659855463345518,0.9684183872414406
4.225,0.968464194565374,0.0012239420442570889,0.9672402525211169,0.9696881366096312
4.237500000000001,0.9697252671291046,0.0012314884268904427,0.9684937787022141,0.970956755555995
4.25,0.9709851946722492,0.0012390592984163026,0.9697461353738329,0.9722242539706655
4.2625,0.9722439872683027,0.0012466543603012485,0.9709973329080015,0.973490641628604
4.275,0.9735016548729417,0.0012542733183498547,0.9722473815545919,0.9747559281912915
4.2875,0.974758207325741,0.0012619158826485252,0.9734962914430925,0.9760201232083896
4.300000000000001,0.9760136543518622,0.0012695817675091208,0.974744072584353,0.9772832361193713
4.3125,0.9772680055637109,0.001277270691412115,0.9759907348722987,0.978545276255123
4.325,0.9785212704625672,0.0012849823769505659,0.9772362880856167,0.9798062528395177
4.3375,0.9797734584401859,0.0012927165507726885,0.9784807418894133,0.9810661749909586
4.35,0.9810245787803707,0.001300472943526449,0.9797241058368443,0.9823250517238972
4.362500000000001,0.9822746406605213,0.0013082512898028194,0.9809663893707185,0.9835828919503241
4.375,0.9835236531531513,0.0013160513280802172,0.982207601825071,0.9848397044812315
4.3875,0.9847716252273857,0.0013238728006680842,0.9834477524267177,0.9860954980280537
4.4,0.9860185657504262,0.0013317154536524568,0.9846868502967738,0.9873502812040786
4.4125,0.9872644834889971,0.0013395790368401358,0.985924904452157,0.9886040625258372
4.425000000000001,0.9885093871107633,0.001347463303704186,0.9871619238070591,0.9898568504144675
4.4375,0.989753285185726,0.0013553680113299307,0.9883979171743961,0.991108653197056
4.45,0.9909961861875941,0.0013632929203608016,0.9896328932672334,0.9923594791079549
4.4625,0.9922380984951336,0.00137123779494436,0.9908668607001891,0.993609336290078
4.475,0.9934790303934917,0.001379202402680557,0.9920998279908112,0.9948582327961722
4.487500000000001,0.9947189900755036,0.0013871865145682824,0.9933318035609353,0.9961061765900718
4.5,0.9959579856429711,0.0013951899049538393,0.9945627957380173,0.9973531755479249
4.5125,0.9971960251079277,0.001403212351479216,0.9957928127564485,0.9985992374594069
4.525,0.998433116393874,0.0014112536350313668,0.9970218627588426,0.9998443700289054
4.5375,0.9996692673370005,0.0014193135396925395,0.998249953797308,1.001088580876693
4.550000000000001,1.0009044856873852,0.0014273918526884577,0.9994770938346967,1.0023318775400736
4.5625,1.0021387791101741,0.0014354883643420845,1.000703290745832,1.0035742674745163
4.575,1.0033721551867412,0.0014436028680223818,1.0019285523187187,1.0048157580547636
4.5875,1.0046046214158288,0.001451735160097905,1.0031528862557308,1.0060563565759268
4.6,1.0058361852146724,0.0014598850398893036,1.0043763001747832,1.0072960702545617
4.612500000000001,1.0070668539201026,0.0014680523096210964,1.0055988016104815,1.0085349062297237
4.625,1.0082966347896343,0.0014762367743775978,1.0068203980152566,1.009772871564012
4.6375,1.0095255350025332,0.0014844382420560408,1.0080410967604772,1.0110099732445892
4.65,1.0107535616608687,0.001492656523321676,1.009260905137547,1.0122462181841905
4.6625,1.011980721790549,0.00150089143156416,1.0104798303589848,1.0134816132221132
