model,fit_label,Rmin,Rmax,omitted_cfg,V0,sigma,alpha,a_sqrt_sigma
cornell,R1-6,1,6,56,0.6635948807678527,0.0867768843645748,0.26983596110679375,0.294579164851445
cornell,R1-6,1,6,57,0.6636331278596325,0.08667669293607788,0.26973440854045655,0.2944090571570071
cornell,R1-6,1,6,58,0.6647522525147752,0.08647061238917755,0.27075342332026175,0.2940588587156958
cornell,R1-6,1,6,59,0.6643358113204811,0.0866020166751158,0.2703710049573291,0.2942822058418004
cornell,R1-6,1,6,60,0.6644523687037365,0.08642708795401738,0.2703800159279254,0.2939848430685116
cornell,R1-6,1,6,61,0.6638079789185637,0.08668773391748773,0.269835100979347,0.2944278076498341
cornell,R1-6,1,6,62,0.6649455834141961,0.08636832439472064,0.27084279631776564,0.2938848828958724
cornell,R1-6,1,6,63,0.6645739327699055,0.08637638393681592,0.2705285073553128,0.29389859464927
cornell,R1-6,1,6,64,0.6634385589496258,0.08683394708140056,0.26979134195484294,0.2946760035723991
cornell,R1-6,1,6,65,0.6648018302133615,0.08647499948335684,0.2707945940593457,0.2940663181722056
cornell,R1-6,1,6,66,0.66451872622777,0.08646044149732095,0.2705040004872466,0.2940415642342438
cornell,R1-6,1,6,67,0.6640382568865362,0.08657818158213494,0.27014500678028014,0.29424170605496247
cornell,R1-6,1,6,68,0.6646986851865115,0.08640359305435708,0.27055637868405774,0.2939448809800182
cornell,R1-6,1,6,69,0.6659341700450363,0.08610059917643803,0.27147800389678056,0.29342903601456694
cornell,R1-6,1,6,70,0.6643983850923694,0.08640066425307703,0.27029405164210757,0.2939398990492394
cornell,R1-6,1,6,71,0.6659529070083909,0.08608749084998446,0.27161174447501246,0.29340669871355096
cornell,R1-6,1,6,72,0.6646750887254504,0.0864264743079148,0.270540730678061,0.29398379939703273
cornell,R1-6,1,6,73,0.6638708966024907,0.08648547028284109,0.2698071822496206,0.2940841210994587
cornell,R1-6,1,6,74,0.6650530055159637,0.08648408120842999,0.27096495073043086,0.29408175939427117
cornell,R1-6,1,6,75,0.6637344849427357,0.0867086828981421,0.2700688661719146,0.2944633812516288
cornell,R1-6,1,6,76,0.6657000054596203,0.08612205784581786,0.27131162910656237,0.29346559908414793
cornell,R1-6,1,6,77,0.6657482388172838,0.08608298464046191,0.2713224462569645,0.29339901949471797
cornell,R1-6,1,6,78,0.6646024334110429,0.0864987351671167,0.27067318577524463,0.2941066731087833
cornell,R1-6,1,6,79,0.6641214581604934,0.08651596747332085,0.27012789626973904,0.29413596766346145
cornell,R1-6,1,6,80,0.6632581845018911,0.0867629330097295,0.2694835141828036,0.2945554837542997
cornell,R1-6,1,6,81,0.6649204174255594,0.08648029329015292,0.270809776156476,0.294075319076853
cornell,R1-6,1,6,82,0.6648684902009304,0.08649894033102394,0.2708660516829205,0.2941070219002327
cornell,R1-6,1,6,83,0.6638325142769104,0.08672129079093767,0.2700270241996104,0.2944847887258995
cornell,R1-6,1,6,84,0.6630771544618483,0.08703214746592797,0.26963334838888653,0.2950121141002992
cornell,R1-6,1,6,85,0.6632889372771225,0.08675591464213285,0.26956357676301734,0.29454357002340564
cornell,R1-6,1,6,86,0.6637795900186713,0.0866637968125598,0.26996825234414745,0.2943871546323987
cornell,R1-6,1,6,87,0.6636895109586939,0.08671094471356032,0.2699607341137229,0.294467221798217
cornell,R1-6,1,6,88,0.6649343237961898,0.08633827983719392,0.2707953260508516,0.29383376224864616
cornell,R1-6,1,6,89,0.6643312146306856,0.08668736623202108,0.270448411982322,0.29442718324234446
cornell,R1-6,1,6,90,0.6651909424219035,0.08631134403277127,0.271014249706168,0.29378792356523314
cornell,R1-6,1,6,91,0.6674436352648735,0.08557700891548232,0.2724605073484844,0.292535483173379
cornell,R1-6,1,6,92,0.6656033886602005,0.08602764285335472,0.2711543962139078,0.29330469285941324
cornell,R1-6,1,6,93,0.6640879928733662,0.0865596498838709,0.27008027008201924,0.29421021376538053
cornell,R1-6,1,6,94,0.6630101591635487,0.08693074620641648,0.26939088083671403,0.2948402045285149
cornell,R1-6,1,6,95,0.6646513114517064,0.08651089221765826,0.27063268138266644,0.29412734013970593
cornell,R1-6,1,6,96,0.6656733236555672,0.08617836243683008,0.2712863563012015,0.2935615138890486
cornell,R1-6,1,6,97,0.6654031855913006,0.08626780247784702,0.2710923222426589,0.29371381049900774
cornell,R1-6,1,6,98,0.6636962576691423,0.08667233924197083,0.26993216214965754,0.29440166311006266
cornell,R1-6,1,6,99,0.665628258896584,0.08600846932646805,0.2710644144855713,0.2932720056985802
cornell,R1-6,1,6,100,0.6651307336515911,0.08628201187710934,0.27093399001132107,0.2937379986946009
cornell,R1-5,1,5,1,0.6633276504241098,0.08679521381846808,0.2696157178612608,0.2946102744618186
cornell,R1-5,1,5,2,0.6626692839451033,0.08697499624144842,0.2691665589007683,0.2949152356889152
cornell,R1-5,1,5,3,0.6630055027001521,0.08695121132198919,0.2694437874461453,0.29487490792196813
cornell,R1-5,1,5,4,0.6628053240398402,0.0869349282003299,0.26923148404457753,0.2948472964100738
cornell,R1-5,1,5,5,0.6635506918849888,0.08683693219196086,0.269893884206229,0.29468106860122667
cornell,R1-5,1,5,6,0.6644464955340317,0.08663652233060597,0.27056159667129137,0.29434082681579526
cornell,R1-5,1,5,7,0.6632001780515386,0.08692401419920419,0.26956515818616344,0.29482878794175477
cornell,R1-5,1,5,8,0.6627707754113794,0.0868924565389389,0.269125928557439,0.2947752644625035
cornell,R1-5,1,5,9,0.6614666510992466,0.08726946304819339,0.26815367563748377,0.2954140535725973
cornell,R1-5,1,5,10,0.6642680060568914,0.08660233005561946,0.270288433733704,0.29428273829026985
cornell,R1-5,1,5,11,0.6628321029841077,0.08698346946178473,0.2692804293327118,0.2949296008571956
cornell,R1-5,1,5,12,0.6641653102659983,0.08666783485566182,0.2704058073460219,0.2943940129412652
cornell,R1-5,1,5,13,0.6631359757254259,0.08684406436560414,0.2693826568593239,0.29469316986588634
cornell,R1-5,1,5,14,0.6636601506316477,0.08665574057251692,0.2698382862923433,0.2943734712444668
cornell,R1-5,1,5,15,0.6624332992299836,0.08699644048325116,0.26898387313520356,0.2949515900673383
cornell,R1-5,1,5,16,0.6641629603943682,0.08660566018068742,0.2702559989951073,0.2942883962725806
cornell,R1-5,1,5,17,0.663485501027556,0.08678999882081256,0.2697505423718731,0.2946014236571381
cornell,R1-5,1,5,18,0.6639369969763262,0.08669312677520277,0.27014879414951226,0.2944369657077772
cornell,R1-5,1,5,19,0.6635176782211776,0.086829824451886,0.2699354092647976,0.2946690082989489
cornell,R1-5,1,5,20,0.6618100669973063,0.08728405586751421,0.26862875807041253,0.2954387514655351
cornell,R1-5,1,5,21,0.6620768116065263,0.0871919409384466,0.26871353171116064,0.29528281517630955
cornell,R1-5,1,5,22,0.6633439807112996,0.08683285819939633,0.2696291797190757,0.29467415597469065
cornell,R1-5,1,5,23,0.6636839514050529,0.08674272509270702,0.26993885067967544,0.2945211793618704
cornell,R1-5,1,5,24,0.6627456105604014,0.0869636993290333,0.2691039117069092,0.2948960822544669
cornell,R1-5,1,5,25,0.6628799110216155,0.0869784923117722,0.2693992929075774,0.2949211628753898
cornell,R1-5,1,5,26,0.6632067450811417,0.08688007777726209,0.26957210334032555,0.2947542667668478
cornell,R1-5,1,5,27,0.6649409504694898,0.08635590109400695,0.2707885511431047,0.29386374579727753
cornell,R1-5,1,5,28,0.6635482554462238,0.08680308404240707,0.26988536939199465,0.29462363116764256
cornell,R1-5,1,5,29,0.6640960204531277,0.08672097453271342,0.27033236832046015,0.2944842517567169
cornell,R1-5,1,5,30,0.6652456069126956,0.08628125539015528,0.2710574258275237,0.29373671100180054
cornell,R1-5,1,5,31,0.6628388691727817,0.08698857811581918,0.2694298003987204,0.29493826153250985
cornell,R1-5,1,5,32,0.6627369009907856,0.08682390156198357,0.26901542168330306,0.29465895805487324
cornell,R1-5,1,5,33,0.6632118994013587,0.08688853253638719,0.2697055205966374,0.29476860846499103
cornell,R1-5,1,5,34,0.6627318651248413,0.08698063768240655,0.269238722311247,0.2949248000463958
cornell,R1-5,1,5,35,0.6643868438662858,0.08655936996623696,0.27041052860719006,0.294209738054737
cornell,R1-5,1,5,36,0.6622569040430779,0.08706477894885063,0.2687944017375809,0.29506741424435645
cornell,R1-5,1,5,37,0.6647654707036422,0.08657200409284636,0.27085726754690514,0.2942312085636844
cornell,R1-5,1,5,38,0.6625101741181189,0.08705739773986751,0.2690297678047507,0.29505490631383763
cornell,R1-5,1,5,39,0.663439908699466,0.08686445488626279,0.26981244914719266,0.29472776402345063
cornell,R1-5,1,5,40,0.6625969683129397,0.08714934531920106,0.269192678531933,0.29521067954801544
cornell,R1-5,1,5,41,0.6628922545844487,0.08708653987704872,0.269473124853234,0.295104286443028
cornell,R1-5,1,5,42,0.6631945015458909,0.08681986915372512,0.2695880050334167,0.2946521154747156
cornell,R1-5,1,5,43,0.6643245104846238,0.08649392806931591,0.27028523181471975,0.2940985006240527
cornell,R1-5,1,5,44,0.663434382601738,0.08684096238451018,0.2698307965278239,0.29468790674968354
cornell,R1-5,1,5,45,0.6633588164023626,0.08690830277348206,0.26977473581938016,0.2948021417382887
cornell,R1-5,1,5,46,0.6625168085773504,0.08709024063282772,0.26907685551315785,0.2951105566272202
cornell,R1-5,1,5,47,0.6636690430573494,0.08683258855180272,0.2699930060848622,0.29467369843914254
cornell,R1-5,1,5,48,0.6628376514732353,0.0870319376658637,0.26935490940638535,0.2950117585213574
cornell,R1-5,1,5,49,0.6627677184970102,0.08713472335191598,0.2693939732385685,0.29518591320033544
cornell,R1-5,1,5,50,0.6636192228333204,0.08698317057900473,0.2701204262931056,0.2949290941548574
cornell,R1-5,1,5,51,0.664459832935742,0.0865581095927607,0.270529135815523,0.2942075960826992
cornell,R1-5,1,5,52,0.6628068933120778,0.08699833538178985,0.26933406366628304,0.29495480226941523
cornell,R1-5,1,5,53,0.6632313606052745,0.08693703990065602,0.2695957810507905,0.29485087739509275
cornell,R1-5,1,5,54,0.6645214116751434,0.08656866535178687,0.27054601660140104,0.2942255348398348
cornell,R1-5,1,5,55,0.6637853699600189,0.08667362939723404,0.26994452479059405,0.294403854249964
cornell,R1-5,1,5,56,0.662392930677902,0.08715471554611413,0.26902738739331544,0.2952197749916393
cornell,R1-5,1,5,57,0.662074915367015,0.08716651466170061,0.2686861706210269,0.29523975792853613
cornell,R1-5,1,5,58,0.6630263268589573,0.0870131544924101,0.26959236170182493,0.2949799221852397
cornell,R1-5,1,5,59,0.6628930352205762,0.08705555114637172,0.26940042320141894,0.29505177706018265
cornell,R1-5,1,5,60,0.6633537199191284,0.08677244652743626,0.2696409348837081,0.2945716322517093
cornell,R1-5,1,5,61,0.6626321000661239,0.08705736964519332,0.26904406586211,0.29505485870460313
cornell,R1-5,1,5,62,0.6636852253216902,0.08676451604297217,0.2699949304773357,0.294558170898334
cornell,R1-5,1,5,63,0.6634771898382895,0.08672114340824731,0.26979070841310987,0.2944845384875873
cornell,R1-5,1,5,64,0.6620947407609786,0.08725637428385634,0.26888733098789824,0.29539189948923167
cornell,R1-5,1,5,65,0.6636641496071478,0.08683262765049506,0.2700292555979492,0.2946737647814869
cornell,R1-5,1,5,66,0.6634687949798053,0.086790485787239,0.26979769261709496,0.2946022501394702
cornell,R1-5,1,5,67,0.6628233620429268,0.08696008192728612,0.2693277248952869,0.2948899488407262
cornell,R1-5,1,5,68,0.663571513548143,0.08675791774344681,0.26979810979670343,0.29454697035183847
cornell,R1-5,1,5,69,0.6644663891538163,0.0865619938657892,0.2704906009624057,0.2942141972539551
cornell,R1-5,1,5,70,0.6632672527558924,0.08675623398158908,0.2695331183210103,0.29454411211495823
cornell,R1-5,1,5,71,0.6651928338937482,0.08632641867682739,0.2711004294495758,0.29381357810153597
cornell,R1-5,1,5,72,0.663813482703031,0.08669731884979455,0.2699611126166092,0.29444408441976644
cornell,R1-5,1,5,73,0.6627949610557602,0.08682368898450024,0.2690833808141406,0.29465859733681665
cornell,R1-5,1,5,74,0.6631898841018494,0.08706975058948521,0.2697115950269999,0.29507583870843307
cornell,R1-5,1,5,75,0.6621730723765872,0.08719951056200909,0.26901847550474606,0.2952956324804163
cornell,R1-5,1,5,76,0.6645137781283481,0.0864949466020951,0.27051363237916454,0.2941002322374042
cornell,R1-5,1,5,77,0.6645072638493059,0.08647308323301725,0.27048761979737906,0.2940630599599638
cornell,R1-5,1,5,78,0.6628678593810188,0.08704399587361895,0.269506306237989,0.2950321946391935
cornell,R1-5,1,5,79,0.6624903308584179,0.08702870985832786,0.26903060723017963,0.29500628782845945
cornell,R1-5,1,5,80,0.6620435500844082,0.0871447514903242,0.2686664074912076,0.295202898851492
cornell,R1-5,1,5,81,0.6638530788418998,0.08681580954955449,0.2700917580546077,0.2946452265853878
cornell,R1-5,1,5,82,0.6639216073013289,0.08679659152946305,0.27022906631326343,0.29461261264491556
cornell,R1-5,1,5,83,0.6627861624306326,0.08705020990138286,0.26932312425815597,0.29504272555238986
cornell,R1-5,1,5,84,0.6620002235289545,0.08737067906571284,0.26890887733900803,0.2955853160522573
cornell,R1-5,1,5,85,0.6620367405713581,0.08714954077088284,0.268721201236071,0.2952110105854503
cornell,R1-5,1,5,86,0.6622148283467288,0.08715567726273615,0.2689156086725228,0.295221403801852
cornell,R1-5,1,5,87,0.6625962237923331,0.08705461787044318,0.2692252599277373,0.29505019550992195
cornell,R1-5,1,5,88,0.6637680437067119,0.08670489820837078,0.270010748196256,0.29445695476312117
cornell,R1-5,1,5,89,0.6631671856421693,0.08705327697303657,0.2696653484843367,0.29504792318034806
cornell,R1-5,1,5,90,0.6636190075401429,0.08680547937053715,0.26995678048567184,0.2946276962041029
cornell,R1-5,1,5,91,0.6664735777399062,0.0858819450221358,0.27180793198632447,0.2930562147816282
cornell,R1-5,1,5,92,0.664693825676691,0.08631356259296775,0.2705425166314154,0.29379169932618543
