R,Tmin,Tmax,Npoints,plateau_value,err_plateau_jackknife,err_plateau_GLS,chi2,dof,chi2_per_dof,p_value,covariance_rank,covariance_condition_number,max_weight_magnitude,selected_common_window
4,1,4,4,0.9624741088252905,0.0037092862997347878,0.003709286299734706,19.1139722541037,3,6.371324084701233,0.00025895723841218174,4,39.16409561022367,0.6127111847633558,False
4,1,5,5,0.9632453327338709,0.0036600735111687764,0.00366007351116881,20.754007695269674,4,5.188501923817419,0.0003542846981877339,5,234.09812499849428,0.6241995776445064,False
4,1,6,6,0.9632175494970286,0.00366004922401061,0.003660049224010648,25.095815727867663,5,5.019163145573533,0.00013352172572144528,6,1035.4032128453289,0.6239375753135143,False
4,1,7,7,0.9632017336534578,0.0036600192182229033,0.003660019218222851,26.23466053949286,6,4.37244342324881,0.0002013096817123617,7,13455.900247098652,0.6236545372605238,False
4,2,4,3,0.9444860004097705,0.005973943181476233,0.005973943181476241,4.358661606728662,2,2.179330803364331,0.11311720296945535,3,17.71882165666502,0.7196685444425471,False
4,2,5,4,0.9444291671898046,0.005973411433002381,0.005973411433002331,4.867086162767974,3,1.6223620542559913,0.18179251005920175,4,102.68130902036454,0.7181897260264324,False
4,2,6,5,0.9433860539065348,0.00593141068638317,0.005931410686383139,7.043207115023734,4,1.7608017787559336,0.13362246815286888,5,451.3305274482893,0.7046355710816563,False
4,2,7,6,0.9430786653758606,0.005892900872185825,0.005892900872185398,7.250711859164146,5,1.4501423718328292,0.20265226793897193,6,5877.678895853869,0.7044862705932797,False
4,3,5,3,0.9243324315387739,0.011325811353236985,0.011325811353237014,0.5051842772649773,2,0.25259213863248864,0.7767846376676919,3,29.174488947431687,0.7645892931795841,True
4,3,6,4,0.9215332239325943,0.010899404161781727,0.010899404161781716,1.3319828487952805,3,0.4439942829317602,0.7215528048590021,4,128.8951585026983,0.7247294315151988,False
4,3,7,5,0.9212186886161762,0.0108768350349237,0.010876835034923723,1.5332816531458515,4,0.3833204132864629,0.8207301391920393,5,1667.3497592203323,0.7243666392537566,False
4,4,6,3,0.9240405652856548,0.02217020276536063,0.022170202765360587,1.315115640636915,2,0.6575578203184576,0.5181151208877748,3,29.222093089774926,0.7445497760826785,False
4,4,7,4,0.9236049719464655,0.022149099401829072,0.02214909940182906,1.517985658081797,3,0.505995219360599,0.6781255145015377,4,378.1045413761588,0.7447067103980808,False
4,5,7,3,0.8735303758299259,0.06054094039183794,0.060540940391838015,0.7281390251328254,2,0.3640695125664127,0.6948428927514037,3,59.604184114226676,0.7900960412221012,False
