cfg,R,Nsrc,Re,Im
58,3,13824,+6.1401011991412752e-08,+1.3624497264694616e-09
59,0,13824,+1.7730317259802381e-07,+0.0000000000000000e+00
59,1,13824,+1.0298184942136212e-07,+1.6831266955738746e-10
59,2,13824,+7.5521218643417730e-08,+2.3456447491040770e-10
59,3,13824,+5.9462222275958786e-08,+3.2643194616084693e-10
5,0,13824,+1.7753792643401236e-07,+0.0000000000000000e+00
5,1,13824,+1.0363241999433577e-07,+1.4597824924045692e-10
5,2,13824,+7.6072274062634721e-08,+6.4647847350067523e-11
5,3,13824,+5.9729878021570237e-08,-2.9392988229263366e-10
60,0,13824,+1.7704794913873890e-07,+0.0000000000000000e+00
60,1,13824,+1.0207723724408416e-07,-9.6634234803312983e-11
60,2,13824,+7.4240108499559336e-08,-1.9691932879404774e-10
60,3,13824,+5.7638178538772055e-08,-1.6159463932213549e-10
61,0,13824,+1.7846529972614854e-07,+0.0000000000000000e+00
61,1,13824,+1.0276380570822456e-07,+7.8505790781694636e-10
61,2,13824,+7.5025976659615465e-08,+1.5616098096653495e-09
61,3,13824,+5.7373990205616373e-08,+1.7444769052016901e-09
62,0,13824,+1.7881662964006461e-07,+0.0000000000000000e+00
62,1,13824,+1.0377193971240032e-07,-9.5725383328342631e-10
62,2,13824,+7.5777557291180241e-08,-1.6344370354861699e-09
62,3,13824,+5.9080784622074240e-08,-1.8623358991119758e-09
63,0,13824,+1.7697642898617825e-07,+0.0000000000000000e+00
63,1,13824,+1.0244856377742077e-07,-4.9502560982405505e-10
63,2,13824,+7.5711143127680474e-08,-6.5241553156297664e-10
63,3,13824,+5.9788498012897809e-08,-8.3617668658521453e-10
64,0,13824,+1.7703615678162769e-07,+0.0000000000000000e+00
64,1,13824,+1.0262154355900859e-07,+7.0880388085579009e-10
64,2,13824,+7.5037436520214952e-08,+1.0767470946769057e-09
64,3,13824,+5.8306411035926732e-08,+1.1436164516424870e-09
65,0,13824,+1.7653940274473862e-07,+0.0000000000000000e+00
65,1,13824,+1.0278017983083306e-07,+6.5772656631545857e-10
65,2,13824,+7.5699961799009568e-08,+1.2830620305007829e-09
65,3,13824,+5.9525714648828688e-08,+1.6222078274155728e-09
66,0,13824,+1.7634966925535174e-07,+0.0000000000000000e+00
66,1,13824,+1.0221896799243614e-07,-1.0569699348721985e-09
66,2,13824,+7.4417054536202370e-08,-1.7280664428296197e-09
66,3,13824,+5.7108167293977615e-08,-2.1589677902297278e-09
67,0,13824,+1.7585828009410361e-07,+0.0000000000000000e+00
67,1,13824,+1.0129930361257740e-07,+4.6036624518244074e-10
67,2,13824,+7.3439324498037755e-08,+3.5897211933609438e-10
67,3,13824,+5.7194155624714832e-08,+4.1108913994461092e-10
68,0,13824,+1.7732623104231782e-07,+0.0000000000000000e+00
68,1,13824,+1.0203092454121177e-07,-3.3497382768292983e-10
68,2,13824,+7.4175459041068179e-08,-1.2894623567846385e-09
68,3,13824,+5.7939807370686588e-08,-1.7059695994899529e-09
69,0,13824,+1.7742795762819767e-07,+0.0000000000000000e+00
69,1,13824,+1.0183134602378228e-07,-9.6111893654874825e-10
69,2,13824,+7.3668074401336571e-08,-1.4622947440975882e-09
69,3,13824,+5.6726314851952854e-08,-1.3076725279589827e-09
6,0,13824,+1.7736132617384410e-07,+0.0000000000000000e+00
6,1,13824,+1.0362962898296656e-07,+1.1762282981154463e-10
6,2,13824,+7.6588399153164695e-08,-3.9662347468250352e-10
6,3,13824,+6.0880935753663000e-08,-5.2152296575638227e-10
70,0,13824,+1.7506248113882728e-07,+0.0000000000000000e+00
70,1,13824,+1.0138213027173038e-07,-4.1114823755412516e-11
70,2,13824,+7.4434005227097668e-08,+3.9231077354916745e-10
70,3,13824,+5.8387076114228954e-08,+2.0486657165683469e-10
71,0,13824,+1.7634040212452396e-07,+0.0000000000000000e+00
71,1,13824,+1.0187676069196084e-07,-2.7551518899136057e-11
