radius,tau_ref,effective_time,state,principal_effective_energy,jackknife_error,jackknife_valid,jackknife_total,reference_time_condition_met,max_central_gevp_residual
2,3,5,2,nan,nan,0,100,1,0.0
2,3,5,3,nan,nan,0,100,1,0.0
2,3,6,1,nan,nan,0,100,0,0.0
2,3,6,2,nan,nan,0,100,0,0.0
2,3,6,3,nan,nan,0,100,0,0.0
2,3,7,1,nan,nan,0,100,0,0.0
2,3,7,2,nan,nan,0,100,0,0.0
2,3,7,3,nan,nan,0,100,0,0.0
3,1,2,1,0.8647593564051084,nan,99,100,0,8.537112622814194e-20
3,1,2,2,1.8126962191287106,nan,99,100,0,8.537112622814194e-20
3,1,2,3,nan,nan,0,100,0,8.537112622814194e-20
3,1,3,1,0.8244737380567831,nan,99,100,0,8.537112622814194e-20
3,1,3,2,0.8109162505578874,nan,99,100,0,8.537112622814194e-20
3,1,3,3,nan,nan,0,100,0,8.537112622814194e-20
3,1,4,1,0.5431532638652574,nan,99,100,0,8.537112622814194e-20
3,1,4,2,-0.916955310474402,nan,99,100,0,8.537112622814194e-20
3,1,4,3,nan,nan,0,100,0,8.537112622814194e-20
3,1,5,1,0.04129555529483491,nan,99,100,0,8.537112622814194e-20
3,1,5,2,0.8070210974652616,nan,99,100,0,8.537112622814194e-20
3,1,5,3,nan,nan,0,100,0,8.537112622814194e-20
3,1,6,1,1.5260544990483864,nan,99,100,0,8.537112622814194e-20
3,1,6,2,nan,nan,0,100,0,8.537112622814194e-20
3,1,6,3,nan,nan,0,100,0,8.537112622814194e-20
3,1,7,1,-0.5865320310954896,nan,99,100,0,8.537112622814194e-20
3,1,7,2,nan,nan,0,100,0,8.537112622814194e-20
3,1,7,3,nan,nan,0,100,0,8.537112622814194e-20
3,2,3,1,0.8294111807705187,0.3117937098403963,100,100,1,5.018930795297335e-19
3,2,3,2,0.9454270997724423,1.3025276444663325,100,100,1,5.018930795297335e-19
3,2,3,3,nan,nan,0,100,1,5.018930795297335e-19
3,2,4,1,-0.5897100472969583,1.9058465193614982,100,100,0,5.018930795297335e-19
3,2,4,2,0.12543918821939323,2.662039128212722,100,100,0,5.018930795297335e-19
3,2,4,3,nan,nan,0,100,0,5.018930795297335e-19
3,2,5,1,-0.6794603101619435,1.9363744271811019,100,100,0,5.018930795297335e-19
3,2,5,2,0.7962182180505544,nan,99,100,0,5.018930795297335e-19
3,2,5,3,nan,nan,0,100,0,5.018930795297335e-19
3,2,6,1,3.1717565263997884,3.1106169964372468,100,100,0,5.018930795297335e-19
3,2,6,2,nan,nan,0,100,0,5.018930795297335e-19
3,2,6,3,nan,nan,0,100,0,5.018930795297335e-19
3,2,7,1,-1.7412434242087094,1.557384654399657,100,100,0,5.018930795297335e-19
3,2,7,2,nan,nan,0,100,0,5.018930795297335e-19
3,2,7,3,nan,nan,0,100,0,5.018930795297335e-19
3,3,4,1,nan,nan,0,100,1,0.0
3,3,4,2,nan,nan,0,100,1,0.0
3,3,4,3,nan,nan,0,100,1,0.0
3,3,5,1,nan,nan,0,100,1,0.0
3,3,5,2,nan,nan,0,100,1,0.0
3,3,5,3,nan,nan,0,100,1,0.0
3,3,6,1,nan,nan,0,100,0,0.0
3,3,6,2,nan,nan,0,100,0,0.0
3,3,6,3,nan,nan,0,100,0,0.0
3,3,7,1,nan,nan,0,100,0,0.0
3,3,7,2,nan,nan,0,100,0,0.0
3,3,7,3,nan,nan,0,100,0,0.0
4,1,2,1,0.9646892819488853,nan,99,100,0,5.191867159147797e-20
4,1,2,2,2.2260493248617164,nan,99,100,0,5.191867159147797e-20
4,1,2,3,nan,nan,0,100,0,5.191867159147797e-20
4,1,3,1,0.9173176202381327,nan,99,100,0,5.191867159147797e-20
4,1,3,2,0.5450444108351814,nan,99,100,0,5.191867159147797e-20
4,1,3,3,nan,nan,0,100,0,5.191867159147797e-20
4,1,4,1,0.20823848758306435,nan,99,100,0,5.191867159147797e-20
4,1,4,2,-0.9068468250722622,nan,99,100,0,5.191867159147797e-20
4,1,4,3,nan,nan,0,100,0,5.191867159147797e-20
4,1,5,1,-0.7513860051044898,nan,99,100,0,5.191867159147797e-20
4,1,5,2,0.7231424284713186,nan,99,100,0,5.191867159147797e-20
4,1,5,3,1.1582302111789786,nan,86,100,0,5.191867159147797e-20
4,1,6,1,2.2632755454389106,nan,99,100,0,5.191867159147797e-20
4,1,6,2,0.984802886714787,nan,98,100,0,5.191867159147797e-20
4,1,6,3,nan,nan,0,100,0,5.191867159147797e-20
4,1,7,1,-0.3067830317505205,nan,99,100,0,5.191867159147797e-20
4,1,7,2,1.522699375642111,nan,98,100,0,5.191867159147797e-20
4,1,7,3,nan,nan,0,100,0,5.191867159147797e-20
4,2,3,1,0.9244637279568276,nan,87,100,1,9.226712208678277e-20
4,2,3,2,0.8128982140781208,nan,87,100,1,9.226712208678277e-20
4,2,3,3,nan,nan,0,100,1,9.226712208678277e-20
4,2,4,1,-3.5409245381526997,nan,87,100,0,9.226712208678277e-20
4,2,4,2,0.15480280486624132,nan,87,100,0,9.226712208678277e-20
4,2,4,3,nan,nan,0,100,0,9.226712208678277e-20
4,2,5,1,-0.7764146256478102,nan,87,100,0,9.226712208678277e-20
4,2,5,2,0.35329125327601074,nan,87,100,0,9.226712208678277e-20
4,2,5,3,1.5531100069154136,nan,74,100,0,9.226712208678277e-20
4,2,6,1,2.2670371045474185,nan,87,100,0,9.226712208678277e-20
4,2,6,2,1.4306654828093939,nan,86,100,0,9.226712208678277e-20
4,2,6,3,nan,nan,0,100,0,9.226712208678277e-20
4,2,7,1,2.112365917529505,nan,87,100,0,9.226712208678277e-20
4,2,7,2,1.4764016205667092,nan,86,100,0,9.226712208678277e-20
4,2,7,3,nan,nan,0,100,0,9.226712208678277e-20
4,3,4,1,nan,nan,0,100,1,0.0
4,3,4,2,nan,nan,0,100,1,0.0
4,3,4,3,nan,nan,0,100,1,0.0
4,3,5,1,nan,nan,0,100,1,0.0
4,3,5,2,nan,nan,0,100,1,0.0
4,3,5,3,nan,nan,0,100,1,0.0
4,3,6,1,nan,nan,0,100,0,0.0
4,3,6,2,nan,nan,0,100,0,0.0
4,3,6,3,nan,nan,0,100,0,0.0
4,3,7,1,nan,nan,0,100,0,0.0
4,3,7,2,nan,nan,0,100,0,0.0
4,3,7,3,nan,nan,0,100,0,0.0
5,1,2,1,1.0501949865735971,nan,99,100,0,3.338878554311619e-20
5,1,2,2,3.252885268373917,nan,99,100,0,3.338878554311619e-20
5,1,2,3,nan,nan,0,100,0,3.338878554311619e-20
5,1,3,1,1.0192784098832075,nan,99,100,0,3.338878554311619e-20
5,1,3,2,-1.0684595209664363,nan,99,100,0,3.338878554311619e-20
