basis,basis_profiles,basis_size,radius,tau_ref,effective_time,state,principal_effective_energy,jackknife_error,jackknife_valid,jackknife_total,reference_time_condition_met,max_central_gevp_residual
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,4,1,4,2,-2.1797762745802043,nan,98,100,0,1.0901815784387525e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,4,1,5,1,-0.6158816656325298,1.0099281698764364,100,100,0,1.0901815784387525e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,4,1,5,2,0.8857088657743968,nan,99,100,0,1.0901815784387525e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,4,1,6,1,2.484610507922152,1.3918403457715898,100,100,0,1.0901815784387525e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,4,1,6,2,nan,nan,0,100,0,1.0901815784387525e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,4,1,7,1,1.2273850902680854,2.3816564225201415,100,100,0,1.0901815784387525e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,4,1,7,2,nan,nan,0,100,0,1.0901815784387525e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,4,2,3,1,0.9236451442132374,0.3354609271482803,100,100,1,2.1173388126452792e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,4,2,3,2,nan,nan,1,100,1,2.1173388126452792e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,4,2,4,1,-0.5260336927230487,1.6608946810849081,100,100,0,2.1173388126452792e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,4,2,4,2,-0.9698060408891764,nan,98,100,0,2.1173388126452792e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,4,2,5,1,-0.6976184103358523,1.0137937921430873,100,100,0,2.1173388126452792e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,4,2,5,2,0.9674456104777204,nan,99,100,0,2.1173388126452792e-20
