radius,tau_ref,tau_d,effective_time,state,projected_effective_energy,jackknife_error,jackknife_valid,jackknife_total
5,2,3,3,2,-0.1419455096543758,nan,95,100
5,2,3,3,3,nan,nan,0,100
5,2,3,4,1,1.0484800188267558,nan,97,100
5,2,3,4,2,-0.35768924618336817,nan,95,100
5,2,3,4,3,nan,nan,0,100
5,2,3,5,1,0.8192960057153508,nan,97,100
5,2,3,5,2,-0.4537237744051862,nan,97,100
5,2,3,5,3,-1.4624521960225718,nan,97,100
5,2,3,6,1,0.9718202136598386,nan,97,100
5,2,3,6,2,1.1376832956567087,nan,96,100
5,2,3,6,3,0.7148746028123354,nan,97,100
5,2,3,7,1,nan,nan,12,100
5,2,3,7,2,nan,nan,0,100
5,2,3,7,3,nan,nan,0,100
6,2,3,1,1,1.7338531034267137,nan,73,100
6,2,3,1,2,3.5405323304249996,nan,73,100
6,2,3,1,3,5.63000085566475,nan,73,100
6,2,3,2,1,1.1064935297300789,nan,73,100
6,2,3,2,2,1.5166880789936117,nan,73,100
6,2,3,2,3,nan,nan,0,100
6,2,3,3,1,1.1447364497561945,nan,73,100
6,2,3,3,2,-0.532374352400773,nan,73,100
6,2,3,3,3,nan,nan,0,100
6,2,3,4,1,1.855342636942682,nan,53,100
6,2,3,4,2,nan,nan,0,100
6,2,3,4,3,nan,nan,0,100
6,2,3,5,1,nan,nan,2,100
6,2,3,5,2,nan,nan,0,100
6,2,3,5,3,nan,nan,0,100
6,2,3,6,1,nan,nan,2,100
6,2,3,6,2,nan,nan,0,100
6,2,3,6,3,nan,nan,0,100
6,2,3,7,1,1.0549804351795524,nan,70,100
6,2,3,7,2,0.8100989070518476,nan,71,100
6,2,3,7,3,nan,nan,0,100
