4 1 5 3 +1.15823021e+00 nan 86/100 0
4 1 6 1 +2.26327555e+00 nan 99/100 0
4 1 6 2 +9.84802887e-01 nan 98/100 0
4 1 6 3 +nan nan 0/100 0
4 1 7 1 -3.06783032e-01 nan 99/100 0
4 1 7 2 +1.52269938e+00 nan 98/100 0
4 1 7 3 +nan nan 0/100 0
4 2 3 1 +9.24463728e-01 nan 87/100 1
4 2 3 2 +8.12898214e-01 nan 87/100 1
4 2 3 3 +nan nan 0/100 1
4 2 4 1 -3.54092454e+00 nan 87/100 0
4 2 4 2 +1.54802805e-01 nan 87/100 0
4 2 4 3 +nan nan 0/100 0
4 2 5 1 -7.76414626e-01 nan 87/100 0
4 2 5 2 +3.53291253e-01 nan 87/100 0
4 2 5 3 +1.55311001e+00 nan 74/100 0
4 2 6 1 +2.26703710e+00 nan 87/100 0
4 2 6 2 +1.43066548e+00 nan 86/100 0
4 2 6 3 +nan nan 0/100 0
4 2 7 1 +2.11236592e+00 nan 87/100 0
4 2 7 2 +1.47640162e+00 nan 86/100 0
4 2 7 3 +nan nan 0/100 0
4 3 4 1 +nan nan 0/100 1
4 3 4 2 +nan nan 0/100 1
4 3 4 3 +nan nan 0/100 1
4 3 5 1 +nan nan 0/100 1
4 3 5 2 +nan nan 0/100 1
4 3 5 3 +nan nan 0/100 1
4 3 6 1 +nan nan 0/100 0
4 3 6 2 +nan nan 0/100 0
4 3 6 3 +nan nan 0/100 0
4 3 7 1 +nan nan 0/100 0
4 3 7 2 +nan nan 0/100 0
4 3 7 3 +nan nan 0/100 0
5 1 2 1 +1.05019499e+00 nan 99/100 0
5 1 2 2 +3.25288527e+00 nan 99/100 0
5 1 2 3 +nan nan 0/100 0
5 1 3 1 +1.01927841e+00 nan 99/100 0
5 1 3 2 -1.06845952e+00 nan 99/100 0
5 1 3 3 +nan nan 0/100 0
5 1 4 1 +4.91497363e-01 nan 99/100 0
5 1 4 2 -2.51984599e-01 nan 99/100 0
5 1 4 3 +nan nan 0/100 0
5 1 5 1 -1.19410390e+00 nan 99/100 0
5 1 5 2 +9.04431038e-01 nan 99/100 0
5 1 5 3 +nan nan 0/100 0
5 1 6 1 +8.40799956e-01 nan 99/100 0
5 1 6 2 +7.69923069e-01 nan 99/100 0
5 1 6 3 +nan nan 0/100 0
5 1 7 1 +2.46071591e+00 nan 99/100 0
5 1 7 2 +nan nan 0/100 0
5 1 7 3 +nan nan 0/100 0
5 2 3 1 +7.48817837e-01 nan 97/100 1
5 2 3 2 -1.09812140e+00 nan 97/100 1
5 2 3 3 +nan nan 0/100 1
5 2 4 1 -2.18221555e+00 nan 97/100 0
5 2 4 2 +9.13739580e-01 nan 97/100 0
5 2 4 3 +nan nan 0/100 0
5 2 5 1 -1.38187074e+00 nan 97/100 0
5 2 5 2 +8.63106779e-01 nan 97/100 0
5 2 5 3 +nan nan 0/100 0
5 2 6 1 +7.42203283e-01 nan 97/100 0
5 2 6 2 +3.89841663e-01 nan 97/100 0
5 2 6 3 +nan nan 0/100 0
5 2 7 1 +4.57626877e+00 nan 97/100 0
5 2 7 2 +nan nan 0/100 0
5 2 7 3 +nan nan 0/100 0
5 3 4 1 +nan nan 0/100 1
5 3 4 2 +nan nan 0/100 1
5 3 4 3 +nan nan 0/100 1
5 3 5 1 +nan nan 0/100 1
5 3 5 2 +nan nan 0/100 1
5 3 5 3 +nan nan 0/100 1
5 3 6 1 +nan nan 0/100 0
5 3 6 2 +nan nan 0/100 0
5 3 6 3 +nan nan 0/100 0
5 3 7 1 +nan nan 0/100 0
5 3 7 2 +nan nan 0/100 0
5 3 7 3 +nan nan 0/100 0
6 1 2 1 +1.14013911e+00 nan 99/100 0
6 1 2 2 +2.20812254e+00 nan 99/100 0
6 1 2 3 +nan nan 0/100 0
6 1 3 1 +1.08609552e+00 nan 99/100 0
6 1 3 2 -3.61786755e-01 nan 99/100 0
6 1 3 3 +nan nan 0/100 0
6 1 4 1 +1.16928563e+00 nan 99/100 0
6 1 4 2 +nan nan 1/100 0
6 1 4 3 +nan nan 0/100 0
6 1 5 1 +9.32753636e-01 nan 99/100 0
6 1 5 2 +nan nan 0/100 0
6 1 5 3 +nan nan 0/100 0
6 1 6 1 -1.38070169e+00 nan 99/100 0
6 1 6 2 +nan nan 0/100 0
6 1 6 3 +nan nan 0/100 0
6 1 7 1 +1.15518695e-02 nan 99/100 0
6 1 7 2 +2.32004167e+00 nan 99/100 0
6 1 7 3 +nan nan 0/100 0
6 2 3 1 -1.64235447e-01 nan 73/100 1
6 2 3 2 +7.43509117e-01 nan 73/100 1
6 2 3 3 +nan nan 0/100 1
6 2 4 1 +2.38016787e+00 nan 73/100 0
6 2 4 2 +nan nan 1/100 0
6 2 4 3 +nan nan 0/100 0
6 2 5 1 +9.25547167e-01 nan 73/100 0
6 2 5 2 +nan nan 0/100 0
6 2 5 3 +nan nan 0/100 0
6 2 6 1 -5.67735068e+00 nan 73/100 0
6 2 6 2 +nan nan 0/100 0
6 2 6 3 +nan nan 0/100 0
6 2 7 1 +2.23761079e+00 nan 73/100 0
6 2 7 2 +3.52823273e+00 nan 73/100 0
6 2 7 3 +nan nan 0/100 0
6 3 4 1 +nan nan 1/100 1
6 3 4 2 +nan nan 0/100 1
6 3 4 3 +nan nan 0/100 1
6 3 5 1 +nan nan 1/100 1
6 3 5 2 +nan nan 0/100 1
6 3 5 3 +nan nan 0/100 1
6 3 6 1 +nan nan 1/100 0
6 3 6 2 +nan nan 1/100 0
6 3 6 3 +nan nan 0/100 0
6 3 7 1 +nan nan 1/100 0
6 3 7 2 +nan nan 1/100 0
6 3 7 3 +nan nan 0/100 0

Fixed-vector optimized correlators
Vectors: tau_ref/a=2, tau_d/a=3
C_opt(tau) = V^dagger C(tau) V.  Its n=2 diagonal is the candidate first-excited fixed-vector correlator. It equals the corresponding principal correlator at tau_d by construction, but need not equal lambda_2 at every tau.
R tau state Eeff err JKvalid
1 1 1 +5.19262046e-01 1.03575102e+00 100/100
1 1 2 +1.79414858e+00 1.43940921e+00 100/100
1 1 3 +1.94214573e+00 2.32943151e+00 100/100
1 2 1 +4.83050173e-01 3.95737735e-01 100/100
1 2 2 +1.22596883e+00 1.27376873e+00 100/100
1 2 3 +nan nan 0/100
1 3 1 +4.95114861e-01 2.26825149e-01 100/100
1 3 2 +6.54411804e-01 1.31805547e+00 100/100
1 3 3 +nan nan 0/100
1 4 1 +5.08605153e-01 nan 99/100
1 4 2 -4.88003662e-01 1.75615960e+00 100/100
1 4 3 +nan nan 0/100
1 5 1 +5.19193107e-01 nan 99/100
1 5 2 +1.13953674e+00 nan 98/100
1 5 3 -8.13774517e-01 nan 99/100
1 6 1 +5.01873525e-01 nan 99/100
1 6 2 +nan nan 4/100
1 6 3 +2.60347572e+00 nan 97/100
1 7 1 +3.92341703e-01 nan 99/100
1 7 2 +nan nan 4/100
1 7 3 +1.02575082e+00 nan 97/100
2 1 1 +7.52855636e-01 7.67994476e-01 100/100
2 1 2 +1.90808284e+00 1.29125491e+00 100/100
2 1 3 +2.56031860e+00 2.47310342e+00 100/100
2 2 1 +7.07220220e-01 3.83360882e-01 100/100
2 2 2 +1.52069598e+00 1.20648752e+00 100/100
2 2 3 +nan nan 0/100
2 3 1 +7.11838164e-01 3.48396072e-01 100/100
2 3 2 +7.39555995e-01 1.06304036e+00 100/100
2 3 3 +nan nan 0/100
2 4 1 +7.31199581e-01 nan 99/100
2 4 2 +1.51729198e-01 1.17905353e+00 100/100
2 4 3 +nan nan 0/100
2 5 1 +7.47101353e-01 nan 99/100
2 5 2 +nan nan 52/100
2 5 3 -4.27130988e-01 nan 99/100
2 6 1 +7.75924871e-01 nan 99/100
2 6 2 +nan nan 41/100
2 6 3 +nan nan 0/100
2 7 1 +5.02786250e-01 nan 99/100
2 7 2 +nan nan 1/100
2 7 3 +nan nan 0/100
3 1 1 +9.61466977e-01 1.01728297e+00 100/100
3 1 2 +2.32287226e+00 1.56992414e+00 100/100
3 1 3 +3.02947027e+00 3.36185603e+00 100/100
3 2 1 +8.38722650e-01 3.52304361e-01 100/100
3 2 2 +1.48881922e+00 1.06208002e+00 100/100
3 2 3 +nan nan 0/100
3 3 1 +8.35082532e-01 7.70844743e-01 100/100
3 3 2 +1.64674898e+00 nan 97/100
3 3 3 +nan nan 0/100
3 4 1 +9.04429607e-01 nan 99/100
3 4 2 +nan nan 2/100
3 4 3 +nan nan 0/100
3 5 1 +8.89259014e-01 nan 99/100
3 5 2 +nan nan 1/100
3 5 3 -1.96807885e+00 nan 94/100
3 6 1 +5.73417733e-01 nan 99/100
3 6 2 +nan nan 1/100
3 6 3 +nan nan 0/100
3 7 1 +2.68595693e+00 nan 77/100
3 7 2 +nan nan 0/100
3 7 3 +nan nan 0/100
4 1 1 +1.07161753e+00 nan 87/100
4 1 2 +2.54597322e+00 nan 87/100
4 1 3 +5.06481482e+00 nan 87/100
4 2 1 +9.45701536e-01 nan 87/100
4 2 2 +1.86127343e+00 nan 87/100
4 2 3 +nan nan 0/100
