basis,basis_profiles,basis_size,radius,tau_ref,tau_d,effective_time,state,projected_effective_energy,jackknife_error,jackknife_valid,jackknife_total
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,6,2,3,1,2,2.8120202345078407,1.7353478108176406,100,100
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,6,2,3,2,1,1.1205192335495513,1.968469667118002,100,100
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,6,2,3,2,2,nan,nan,16,100
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,6,2,3,3,1,1.142184454591332,nan,99,100
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,6,2,3,3,2,nan,nan,1,100
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,6,2,3,4,1,1.0961826976770017,nan,99,100
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,6,2,3,4,2,nan,nan,1,100
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,6,2,3,5,1,1.348095342514381,nan,98,100
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,6,2,3,5,2,nan,nan,1,100
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,6,2,3,6,1,-0.27818165346153595,nan,99,100
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,6,2,3,6,2,nan,nan,1,100
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,6,2,3,7,1,1.867916726316744,nan,96,100
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,6,2,3,7,2,nan,nan,0,100
sigma001_constant,sigma=0.0100|constant,2,1,2,3,1,1,0.5169197899752753,0.4221865512601165,100,100
sigma001_constant,sigma=0.0100|constant,2,1,2,3,1,2,1.468272890307427,1.4346551060688058,100,100
sigma001_constant,sigma=0.0100|constant,2,1,2,3,2,1,0.4832997995464402,0.29250659634215753,100,100
sigma001_constant,sigma=0.0100|constant,2,1,2,3,2,2,2.9610097152526995,nan,97,100
sigma001_constant,sigma=0.0100|constant,2,1,2,3,3,1,0.4947119258583512,0.2569827247102702,100,100
sigma001_constant,sigma=0.0100|constant,2,1,2,3,3,2,-0.9345764251747479,nan,97,100
sigma001_constant,sigma=0.0100|constant,2,1,2,3,4,1,0.5082617237889224,nan,99,100
sigma001_constant,sigma=0.0100|constant,2,1,2,3,4,2,-1.6429200522008762,4.64284703876628,100,100
sigma001_constant,sigma=0.0100|constant,2,1,2,3,5,1,0.5162358699400823,nan,99,100
sigma001_constant,sigma=0.0100|constant,2,1,2,3,5,2,-0.21311957192853764,0.5985703887193367,100,100
sigma001_constant,sigma=0.0100|constant,2,1,2,3,6,1,0.4991897142663137,nan,99,100
sigma001_constant,sigma=0.0100|constant,2,1,2,3,6,2,1.9368132712626125,nan,99,100
sigma001_constant,sigma=0.0100|constant,2,1,2,3,7,1,0.39536840633318676,nan,99,100
sigma001_constant,sigma=0.0100|constant,2,1,2,3,7,2,0.741082437316534,nan,99,100
sigma001_constant,sigma=0.0100|constant,2,2,2,3,1,1,0.7499469973990354,0.4841853683414026,100,100
sigma001_constant,sigma=0.0100|constant,2,2,2,3,1,2,1.8094016780365172,1.4829390075187039,100,100
sigma001_constant,sigma=0.0100|constant,2,2,2,3,2,1,0.7074699277134202,0.3327323363064396,100,100
sigma001_constant,sigma=0.0100|constant,2,2,2,3,2,2,2.8217945077082343,nan,98,100
sigma001_constant,sigma=0.0100|constant,2,2,2,3,3,1,0.7132030354846977,0.3342231549379555,100,100
sigma001_constant,sigma=0.0100|constant,2,2,2,3,3,2,-0.4518357335311445,nan,98,100
sigma001_constant,sigma=0.0100|constant,2,2,2,3,4,1,0.7283753108345143,nan,99,100
sigma001_constant,sigma=0.0100|constant,2,2,2,3,4,2,-0.5743245089254331,2.578018316935511,100,100
sigma001_constant,sigma=0.0100|constant,2,2,2,3,5,1,0.7490494868370884,nan,99,100
