profile,sigma,radius,effective_time,effective_energy,jackknife_error,plateau_fit_T3_5,plateau_fit_error,chi2_dof,p_value,z2,shift_from_constant,paired_shift_z
sigma=0.0500,0.0500,3,3,0.8254162361705883,0.01017115497320611,0.8322572663482382,0.007713627586636401,0.8728201687734546,0.4177716996403501,1.6834917819174235,-0.001966219567565708,-0.7457106984665948
sigma=0.0500,0.0500,3,4,0.850362716346236,0.015837292534537074,0.8322572663482382,0.007713627586636401,0.8728201687734546,0.4177716996403501,1.6834917819174235,-0.001966219567565708,-0.7457106984665948
sigma=0.0500,0.0500,3,5,0.8142501726840727,0.03926096799562467,0.8322572663482382,0.007713627586636401,0.8728201687734546,0.4177716996403501,1.6834917819174235,-0.001966219567565708,-0.7457106984665948
sigma=0.0500,0.0500,3,6,0.717261360629346,0.07345533499319717,0.8322572663482382,0.007713627586636401,0.8728201687734546,0.4177716996403501,1.6834917819174235,-0.001966219567565708,-0.7457106984665948
sigma=0.0500,0.0500,3,7,1.552790896877293,0.35160580306394273,0.8322572663482382,0.007713627586636401,0.8728201687734546,0.4177716996403501,1.6834917819174235,-0.001966219567565708,-0.7457106984665948
sigma=0.0500,0.0500,4,1,0.9782429269464018,0.0066968110384647145,0.9227361194207914,0.011799817603618817,0.41803404791813203,0.6583398129431749,2.055083400294519,-0.0015963121179822792,-0.45904179841048903
sigma=0.0500,0.0500,4,2,0.9540803402469571,0.009237174152474343,0.9227361194207914,0.011799817603618817,0.41803404791813203,0.6583398129431749,2.055083400294519,-0.0015963121179822792,-0.45904179841048903
sigma=0.0500,0.0500,4,3,0.920048317818314,0.014468184680577699,0.9227361194207914,0.011799817603618817,0.41803404791813203,0.6583398129431749,2.055083400294519,-0.0015963121179822792,-0.45904179841048903
sigma=0.0500,0.0500,4,4,0.9405749243791541,0.030846577529543895,0.9227361194207914,0.011799817603618817,0.41803404791813203,0.6583398129431749,2.055083400294519,-0.0015963121179822792,-0.45904179841048903
sigma=0.0500,0.0500,4,5,0.8691437464778946,0.06493130903904068,0.9227361194207914,0.011799817603618817,0.41803404791813203,0.6583398129431749,2.055083400294519,-0.0015963121179822792,-0.45904179841048903
sigma=0.0500,0.0500,4,6,0.7731892850951372,0.14753492323074008,0.9227361194207914,0.011799817603618817,0.41803404791813203,0.6583398129431749,2.055083400294519,-0.0015963121179822792,-0.45904179841048903
sigma=0.0500,0.0500,4,7,1.204307822068477,0.5435905344055845,0.9227361194207914,0.011799817603618817,0.41803404791813203,0.6583398129431749,2.055083400294519,-0.0015963121179822792,-0.45904179841048903
sigma=0.0500,0.0500,5,1,1.0712793029777274,0.00837401771792445,1.0313872283457077,0.020422284810232172,0.07207992403335026,0.9304565270008227,0.498067051767823,0.00480179741490061,1.0809057726514617
sigma=0.0500,0.0500,5,2,1.0436285023077452,0.011722230015928129,1.0313872283457077,0.020422284810232172,0.07207992403335026,0.9304565270008227,0.498067051767823,0.00480179741490061,1.0809057726514617
sigma=0.0500,0.0500,5,3,1.028921753839735,0.022606050357832502,1.0313872283457077,0.020422284810232172,0.07207992403335026,0.9304565270008227,0.498067051767823,0.00480179741490061,1.0809057726514617
sigma=0.0500,0.0500,5,4,1.0450806295504909,0.051880214863771486,1.0313872283457077,0.020422284810232172,0.07207992403335026,0.9304565270008227,0.498067051767823,0.00480179741490061,1.0809057726514617
sigma=0.0500,0.0500,5,5,0.9935412063547752,0.13880060880674117,1.0313872283457077,0.020422284810232172,0.07207992403335026,0.9304565270008227,0.498067051767823,0.00480179741490061,1.0809057726514617
sigma=0.0500,0.0500,5,6,0.9539308983953061,0.36257695567838605,1.0313872283457077,0.020422284810232172,0.07207992403335026,0.9304565270008227,0.498067051767823,0.00480179741490061,1.0809057726514617
sigma=0.0500,0.0500,5,7,nan,nan,1.0313872283457077,0.020422284810232172,0.07207992403335026,0.9304565270008227,0.498067051767823,0.00480179741490061,1.0809057726514617
sigma=0.0500,0.0500,6,1,1.1692524212485353,0.010977594886381585,1.1206888273117313,0.026808839240201873,0.3234225895688763,0.7236679752041443,0.2459613118910422,0.004418023145883687,0.5763550505822544
sigma=0.0500,0.0500,6,2,1.128485367329851,0.015078824881599015,1.1206888273117313,0.026808839240201873,0.3234225895688763,0.7236679752041443,0.2459613118910422,0.004418023145883687,0.5763550505822544
sigma=0.0500,0.0500,6,3,1.119079154676342,0.02947496328727883,1.1206888273117313,0.026808839240201873,0.3234225895688763,0.7236679752041443,0.2459613118910422,0.004418023145883687,0.5763550505822544
sigma=0.0500,0.0500,6,4,1.1564521351197328,0.0932052477161108,1.1206888273117313,0.026808839240201873,0.3234225895688763,0.7236679752041443,0.2459613118910422,0.004418023145883687,0.5763550505822544
sigma=0.0500,0.0500,6,5,0.9617742378664098,0.20696379730636855,1.1206888273117313,0.026808839240201873,0.3234225895688763,0.7236679752041443,0.2459613118910422,0.004418023145883687,0.5763550505822544
sigma=0.0500,0.0500,6,6,0.6627368320239537,0.4294993064860694,1.1206888273117313,0.026808839240201873,0.3234225895688763,0.7236679752041443,0.2459613118910422,0.004418023145883687,0.5763550505822544
sigma=0.0500,0.0500,6,7,nan,nan,1.1206888273117313,0.026808839240201873,0.3234225895688763,0.7236679752041443,0.2459613118910422,0.004418023145883687,0.5763550505822544
constant,inf,1,1,0.49632700400367613,0.0011757316508868995,0.48155171185871554,0.0012655473504379563,0.5221633683537485,0.5932357712547865,2.7793434233010723,0.0,0.0
constant,inf,1,2,0.48731887892954023,0.0013174413767540903,0.48155171185871554,0.0012655473504379563,0.5221633683537485,0.5932357712547865,2.7793434233010723,0.0,0.0
